Course,GPA,yearly_num,dept,num,index
COMM 114J,3.5460000000000003,0,COMM,114,72
COMM 114M,2.8501754385964913,0,COMM,114,73
COMM 114N,3.4323636363636365,0,COMM,114,74
COMM 114P,2.8217808219178084,0,COMM,114,75
COMM 114T,3.6782142857142857,24,COMM,114,76
COMM 120I,3.7242253521126765,0,COMM,120,77
COMM 120M,3.417226890756302,0,COMM,120,78
COMM 120N,3.6977393075356413,0,COMM,120,79
COMM 120P,3.8500000000000005,0,COMM,120,80
COMM 120W,3.6969565217391307,0,COMM,120,81
COMM 124,3.44,0,COMM,124,82
COMM 124A,3.525830258302583,65,COMM,124,83
COMM 124B,3.47,0,COMM,124,84
COMM 126,3.0675525525525527,21,COMM,126,85
COMM 127,3.2157851239669424,25,COMM,127,86
COMM 128,3.579034482758621,0,COMM,128,87
COMM 129,3.4962162162162165,0,COMM,129,88
COMM 131,3.4899604743083,46,COMM,131,89
COMM 132,3.2055978623914494,27,COMM,132,90
COMM 133,3.2604525862068963,0,COMM,133,91
COMM 134,3.3886875000000005,48,COMM,134,92
COMM 135,3.55,0,COMM,135,93
COMM 136,3.396315789473684,0,COMM,136,94
COMM 137,3.3797524752475248,25,COMM,137,95
COMM 138,3.179423076923077,0,COMM,138,96
COMM 139,2.9357281553398056,0,COMM,139,97
COMM 140,3.5232424242424245,0,COMM,140,98
COMM 141,3.48,0,COMM,141,99
COMM 142,2.91,0,COMM,142,100
COMM 143,3.1411724137931034,30,COMM,143,101
COMM 144,3.318,0,COMM,144,102
COMM 145,3.2770445344129553,0,COMM,145,103
COMM 146,3.4818946350894153,155,COMM,146,104
COMM 151,3.05703081232493,27,COMM,151,105
COMM 152,3.24,0,COMM,152,106
COMM 153,3.3147031963470317,21,COMM,153,107
COMM 154,3.032384937238494,0,COMM,154,108
COMM 155,3.4358536585365855,0,COMM,155,109
COMM 158,3.3684285714285713,38,COMM,158,110
COMM 159,3.6026623376623372,0,COMM,159,111
COMM 160,3.1606413994169094,51,COMM,160,112
COMM 162,3.4031007751937983,70,COMM,162,113
COMM 163,3.004851694915254,27,COMM,163,114
COMM 164,3.536338028169014,21,COMM,164,115
COMM 166,3.3786703096539163,0,COMM,166,116
COMM 167,3.4665306122448984,0,COMM,167,117
COMM 168,3.303282442748092,0,COMM,168,118
COMM 169,3.267701149425287,0,COMM,169,119
COMM 170,3.283958333333333,0,COMM,170,120
COMM 171,3.1882804232804234,30,COMM,171,121
COMM 172,3.1756570512820517,0,COMM,172,122
COMM 173,3.446081081081081,0,COMM,173,123
COMM 174,3.5956,0,COMM,174,124
COMM 175,3.646280991735537,56,COMM,175,125
COMM 176,2.885601659751037,0,COMM,176,126
COMM 177,3.81,26,COMM,177,127
COMM 179,3.487195121951219,0,COMM,179,128
COMM 180,3.3901086956521738,0,COMM,180,129
COMM 181,3.8388311688311694,27,COMM,181,130
COMM 182,3.38,0,COMM,182,131
COMM 183,3.31,0,COMM,183,132
COMM 190,3.505035742652899,254,COMM,190,133
