,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
42,"Leigh, Brian",CHEM 7LM - General Chemistry Lab - Majors (A),SP23,177,83,93.6%,98.7%,7.32,B (3.29),B+ (3.31)
43,"Kim, Judy E.",CHEM 87 - Freshman Seminar (A),SP23,19,9,100.0%,100.0%,0.5,A (4.00),
44,"Bussey, Thomas J",CHEM 96 - Introductn to Teaching Science (A),SP23,12,8,100.0%,100.0%,2.5,A (4.00),
45,"Brydges, Stacey",CHEM 1 - Scope of Chem and Biochem (A),WI23,21,13,91.7%,83.3%,0.5,,
46,"Slade, Jonathan",CHEM 100A - Analytical Chemistry Lab (A),WI23,143,72,84.5%,84.5%,7.74,B+ (3.34),B+ (3.64)
47,"Pomeroy, Robert S.",CHEM 100B - Instrumental Chemistry Lab (A),WI23,27,10,90.0%,90.0%,7.3,C+ (2.60),B (3.06)
48,"Young, Mark",CHEM 105A - Physical Chemistry Laboratory (A),WI23,41,14,71.4%,92.3%,9.79,B+ (3.36),B- (2.89)
49,"Young, Mark",CHEM 105A - Physical Chemistry Laboratory (B),WI23,40,20,52.6%,64.7%,11.7,B (3.05),B (3.20)
50,"Haack, Daniel Brian",CHEM 108 - Protein Biochemistry Lab (A),WI23,49,28,66.7%,70.4%,9.02,B+ (3.46),B (3.16)
51,"Haack, Daniel Brian",CHEM 108 - Protein Biochemistry Lab (B),WI23,39,20,65.0%,85.0%,7.7,B+ (3.35),B (3.11)
52,"Ghosh, Gairika",CHEM 109 - Recombinant DNA Laboratory (A),WI23,48,23,82.6%,73.9%,12.07,B+ (3.48),A- (3.75)
53,"Ghosh, Gairika",CHEM 109 - Recombinant DNA Laboratory (B),WI23,36,20,90.0%,85.0%,8.2,A- (3.70),A- (3.89)
54,"Huang, Xuemei",CHEM 11 - The Periodic Table (A),WI23,301,139,78.9%,72.5%,3.87,B (3.29),B- (2.83)
55,"Bussey, Thomas J",CHEM 114A - Biochemical Structure&Function (A),WI23,106,43,97.6%,100.0%,7.48,B (3.13),C+ (2.32)
56,"Budin, Itay",CHEM 114B - Biochem Energetics&Metabolism (A),WI23,115,69,97.1%,98.6%,7.69,B (3.22),B+ (3.39)
57,"Ghosh, Partho",CHEM 114B - Biochem Energetics&Metabolism (B),WI23,77,51,96.0%,96.0%,7.52,B- (2.96),B- (2.80)
58,"Komives, Elizabeth A",CHEM 114C - Biosynthesis of Macromolecules (A),WI23,95,41,91.9%,86.5%,6.55,B (3.24),B (3.08)
59,"Stauber, Julia Megan",CHEM 120A - Inorganic Chemistry I (A),WI23,81,74,86.5%,89.2%,6.97,B (3.01),B- (2.70)
60,"Tezcan, Faik",CHEM 125 - Bioinorganic Chemistry (A),WI23,19,7,100.0%,100.0%,6.5,B+ (3.67),
61,"Amaro, Rommie E",CHEM 126A - Phys Biochem: Thermodynamics (A),WI23,81,37,91.4%,97.1%,6.84,B+ (3.36),B+ (3.35)
62,"Kim, Judy E.",CHEM 126B - Phys Biochem: Quantum Mech (A),WI23,172,84,72.0%,91.4%,10.09,B- (2.84),B- (2.84)
63,"Galperin, Michael",CHEM 131 - Chem Physics: Stat Thermo I (A),WI23,103,36,69.7%,90.6%,7.83,B (3.00),B- (2.71)
64,"Pokorski, Jonathan Kyle",CHEM 134 - Polymeric Materials (A),WI23,20,9,100.0%,100.0%,4.72,B+ (3.67),B+ (3.43)
65,"Weizman, Haim",CHEM 143B - Organic Chemistry Lab II (A),WI23,92,40,62.5%,77.5%,6.8,C+ (2.68),B (3.02)
66,"Donoghue, Daniel J.",CHEM 151 - Molecules That Changed World (A),WI23,86,36,97.2%,97.2%,4.06,A- (3.94),A- (3.72)
67,"Romero, Nathan A",CHEM 154 - Mechanisms/Organic Reactions (A),WI23,20,7,100.0%,100.0%,6.5,B+ (3.43),B- (2.96)
68,"Schmidt, Valerie A",CHEM 154 - Mechanisms/Organic Reactions (A),WI23,20,7,100.0%,100.0%,6.5,B+ (3.43),B- (2.96)
69,"Devaraj, Neal Krishna",CHEM 168 - Drug Synthesis and Design (A),WI23,238,200,97.5%,97.0%,4.69,B+ (3.39),B+ (3.38)
70,"Thiemens, Mark H",CHEM 172 - Environmental Chemistry II (A),WI23,47,13,91.7%,91.7%,3.17,B+ (3.58),B+ (3.41)
71,"Brydges, Stacey",CHEM 187 - Foundn of Teach&Learn Science (A),WI23,10,4,75.0%,100.0%,5.0,A (4.00),
72,"Newsam, John",CHEM 194 - Special Topics in Chemistry (A),WI23,11,5,100.0%,80.0%,2.5,A (4.00),
73,"Klosterman, Jeremy K",CHEM 40A - Organic Chemistry I (A),WI23,177,147,57.5%,46.6%,9.34,B- (2.70),C+ (2.62)
74,"Albizati, Kim F.",CHEM 40A - Organic Chemistry I (B),WI23,207,90,92.0%,98.9%,8.18,B- (2.96),B- (2.78)
75,"Romero, Erik Anthony",CHEM 40B - Organic Chemistry II (B),WI23,218,191,51.8%,58.4%,9.46,C+ (2.59),C+ (2.59)
76,"Weizman, Haim",CHEM 40B - Organic Chemistry II (C),WI23,288,251,75.8%,91.9%,8.51,B- (2.99),B- (2.96)
77,"Burkart, Michael D",CHEM 40B - Organic Chemistry II (D),WI23,293,277,72.9%,79.3%,8.46,B- (2.97),B- (2.87)
78,"Godula, Kamil",CHEM 40C - Organic Chemistry III (A),WI23,363,320,80.3%,97.2%,7.07,B (3.08),B- (2.94)
79,"Klosterman, Jeremy K",CHEM 41B - Organic II: React & Synth (A),WI23,264,232,63.8%,56.9%,9.11,B- (2.74),B- (2.76)
80,"Lam, Tin Yiu",CHEM 43A - Organic Chemistry Laboratory (A),WI23,214,106,87.5%,82.3%,8.54,B+ (3.37),B (3.10)
81,"Lam, Tin Yiu",CHEM 43A - Organic Chemistry Laboratory (B),WI23,220,95,80.2%,90.0%,8.57,B (3.19),B (3.03)
82,"Tezcan, Faik",CHEM 6A - General Chemistry I (A),WI23,298,162,76.8%,71.2%,6.54,C+ (2.64),C (2.15)
83,"Hopkins, Patrycja Anna",CHEM 6A - General Chemistry I (B),WI23,379,171,90.8%,93.8%,5.88,B (3.13),B- (2.77)
84,"Schurmeier, Kimberly",CHEM 6B - General Chemistry II (A),WI23,174,104,93.9%,99.0%,7.05,B+ (3.34),B (3.13)
85,"Leigh, Brian",CHEM 6B - General Chemistry II (B),WI23,235,134,93.9%,99.2%,7.63,B+ (3.35),B (3.17)
86,"Young, Mark",CHEM 6B - General Chemistry II (C),WI23,30,15,53.3%,40.0%,6.5,B (3.00),B- (2.79)
87,"Kummel, Andrew C",CHEM 6B - General Chemistry II (D),WI23,147,78,87.8%,82.4%,6.87,B (3.22),B- (2.74)
88,"Leigh, Brian",CHEM 6B - General Chemistry II (E),WI23,234,139,92.5%,97.8%,7.14,B+ (3.39),B (3.10)
89,"Stallings, Dontarie M",CHEM 6B - General Chemistry II (F),WI23,246,144,95.7%,100.0%,7.45,B+ (3.38),B (3.08)
90,"Sailor, Michael Joseph",CHEM 6B - General Chemistry II (G),WI23,202,113,67.3%,50.0%,7.72,B (3.05),B- (2.91)
91,"Yuen Zhou, Joel",CHEM 6BH - Honors General Chemistry II (A),WI23,32,24,66.7%,41.7%,8.17,B- (2.96),B+ (3.40)
92,"Albizati, Kim F.",CHEM 6C - General Chemistry III (A),WI23,252,84,87.2%,94.9%,7.39,B- (2.96),C+ (2.66)
93,"Jazzar, Rodolphe",CHEM 7L - General Chemistry Laboratory (A),WI23,233,107,79.0%,90.4%,6.8,B (3.04),B- (2.94)
94,"Jazzar, Rodolphe",CHEM 7L - General Chemistry Laboratory (B),WI23,230,105,81.0%,92.0%,7.5,B (3.12),B- (2.99)
95,"Pomeroy, Robert S.",CHEM 100A - Analytical Chemistry Lab (A),FA22,140,59,84.7%,93.2%,8.81,B (3.17),B (3.20)
96,"Young, Mark",CHEM 105A - Physical Chemistry Laboratory (A),FA22,42,12,81.8%,81.8%,7.41,B (3.18),B- (2.82)
97,"Young, Mark",CHEM 105A - Physical Chemistry Laboratory (B),FA22,39,11,72.7%,81.8%,9.77,B+ (3.50),B (3.15)
98,"Ghosh, Gourisankar",CHEM 108 - Protein Biochemistry Lab (A),FA22,46,17,88.2%,47.1%,5.91,B (3.24),B (3.25)
99,"Ghosh, Gourisankar",CHEM 108 - Protein Biochemistry Lab (B),FA22,47,10,100.0%,88.9%,6.75,B+ (3.50),B (3.04)
100,"Button, Aileen C",CHEM 109 - Recombinant DNA Laboratory (A),FA22,48,23,95.5%,81.8%,10.59,B+ (3.39),A- (3.73)
101,"Button, Aileen C",CHEM 109 - Recombinant DNA Laboratory (B),FA22,45,25,83.3%,95.8%,10.25,B+ (3.67),A- (3.85)
102,"Toor, Navtej",CHEM 114A - Biochemical Structure&Function (A),FA22,248,102,76.8%,75.8%,6.46,B (3.04),B- (2.75)
103,"Ferguson, Fleur",CHEM 116 - Chemical Biology (A),FA22,89,38,73.7%,68.4%,7.97,B (3.05),B+ (3.39)
104,"Schimpf, Alina M",CHEM 120A - Inorganic Chemistry I (A),FA22,162,61,95.1%,98.4%,5.78,B (3.10),B- (2.73)
105,"Schoeneberg, Johannes",CHEM 126A - Phys Biochem: Thermodynamics (A),FA22,192,115,68.4%,73.7%,7.24,B- (2.89),B- (2.76)
106,"Sinha, Amitabha",CHEM 130 - Chem Physics: Quantum Mech (A),FA22,106,38,60.5%,65.8%,9.13,B- (2.79),B- (2.91)
107,"Esko, Jeffrey D.",CHEM 142 - Intro to Glycosciences (A),FA22,81,71,97.2%,100.0%,5.99,B+ (3.42),A- (3.73)
108,"Gagneux, Pascal",CHEM 142 - Intro to Glycosciences (A),FA22,81,71,97.2%,97.2%,5.99,B+ (3.42),A- (3.73)
109,"Godula, Kamil",CHEM 142 - Intro to Glycosciences (A),FA22,81,71,97.2%,100.0%,5.99,B+ (3.42),A- (3.73)
110,"Gordts, Philip",CHEM 142 - Intro to Glycosciences (A),FA22,81,71,97.2%,98.6%,5.99,B+ (3.42),A- (3.73)
111,"Klosterman, Jeremy K",CHEM 143C - Organic Chemistry Laboratory (A),FA22,49,15,92.3%,84.6%,7.58,B+ (3.31),B (3.19)
112,"Romero, Nathan A",CHEM 152 - Synthetic Methods/Organic Chem (A),FA22,37,15,93.3%,78.6%,5.3,B+ (3.67),B+ (3.65)
113,"Schmidt, Valerie A",CHEM 152 - Synthetic Methods/Organic Chem (A),FA22,37,15,93.3%,92.9%,5.3,B+ (3.67),B+ (3.65)
114,"Slade, Jonathan",CHEM 171 - Environmental Chemistry I (A),FA22,108,38,97.4%,97.4%,4.34,B+ (3.42),B (3.12)
115,"Paesani, Francesco",CHEM 186 - Molecular Simulations Lab (A),FA22,12,5,100.0%,100.0%,4.9,A- (3.80),
116,"Bussey, Thomas J",CHEM 4 - Chemical Thinking (A),FA22,429,221,86.8%,93.1%,5.81,B- (2.99),B- (2.86)
117,"Schmidt, Valerie A",CHEM 40A - Organic Chemistry I (A),FA22,210,84,88.1%,94.0%,8.29,B (3.09),B- (2.84)
118,"Lam, Tin Yiu",CHEM 40A - Organic Chemistry I (B),FA22,234,111,90.5%,85.4%,7.09,B (3.30),B- (2.97)
