,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
266,"Landry, Michael Raymond",BIEB 134 - Intro/Biological Oceanography (A),WI09,89,42,85.4%,90.2%,5.18,B (3.10),C+ (2.66)
267,"Chao, Lin",BIEB 150 - Evolution (A),WI09,140,109,92.5%,96.2%,2.99,B+ (3.39),B- (2.84)
268,"Nieh, James Charles",BIEB 166 - Animal Behavior&Communication (A),WI09,191,111,98.2%,100.0%,4.01,B+ (3.44),B- (2.95)
269,"Nieh, James Charles",BIEB 167 - Animal Communication Lab (A),WI09,28,23,100.0%,100.0%,4.24,A- (3.82),B+ (3.65)
270,"Holway, David A.",BIEB 102 - Intro Eclgy/Organisms&Habitats (A),FA08,135,95,91.3%,94.5%,4.08,B+ (3.39),C+ (2.56)
271,"Holway, David A.",BIEB 128 - Insect Ecology (A),FA08,97,42,97.6%,97.6%,3.64,B+ (3.38),B- (2.76)
272,"Burton, Ronald S.",BIEB 132 - Introduction to Marine Biology (A),FA08,202,108,86.0%,86.9%,3.99,B (3.28),B- (2.77)
273,"Hastings, Philip A.",BIEB 132 - Introduction to Marine Biology (A),FA08,202,108,86.0%,86.9%,3.99,B (3.28),B- (2.77)
274,"Latz, Michael I",BIEB 132 - Introduction to Marine Biology (A),FA08,202,108,86.0%,86.9%,3.99,B (3.28),B- (2.77)
275,"Rouse, Gregory W.",BIEB 147 - Introduction to Phylogenetics (A),FA08,17,15,93.3%,100.0%,3.83,B (3.00),
276,"Henter, Heather J.",BIEB 121 - Ecology Laboratory (A),SP08,15,13,100.0%,92.3%,6.04,B (3.15),
277,"Andolfatto, Peter",BIEB 123 - Molculr Mthd/Ecolgy & Evol Lab (A),SP08,26,24,87.0%,87.0%,4.07,B+ (3.43),B+ (3.46)
278,"Roy, Kaustuv",BIEB 140 - Biodiversity (A),SP08,147,97,89.2%,92.6%,3.86,B (3.13),B- (2.75)
279,"Jetz, Walter",BIEB 145 - Spatial Anlys/Ecolgy&Conservtn (A),SP08,13,13,92.3%,92.3%,11.12,B+ (3.67),
280,"Andolfatto, Peter",BIEB 156 - Population Genetics (A),SP08,27,16,75.0%,87.5%,4.63,B+ (3.36),B- (2.74)
281,"Strum, Shirley C.",BIEB 176 - Conservation&Human Predicament (A),SP08,163,96,89.1%,92.4%,6.88,B+ (3.35),B (3.08)
282,"Woodruff, David S",BIEB 176 - Conservation&Human Predicament (A),SP08,163,96,89.1%,92.4%,6.88,B+ (3.35),B (3.08)
283,"Bachtrog, Doris",BIEB 123 - Molculr Mthd/Ecolgy & Evol Lab (A),WI08,32,24,91.7%,91.7%,4.5,B+ (3.58),B+ (3.53)
284,"Roy, Kaustuv",BIEB 131 - Marine Invertebrate Ecology Lb (A),WI08,23,18,94.4%,94.4%,13.06,B+ (3.33),B (3.30)
285,"Landry, Michael Raymond",BIEB 134 - Intro/Biological Oceanography (A),WI08,84,48,89.4%,87.2%,4.2,B (3.27),C+ (2.64)
286,"Chao, Lin",BIEB 150 - Evolution (A),WI08,139,104,86.3%,93.2%,3.09,B+ (3.34),B (3.01)
287,"Nieh, James Charles",BIEB 166 - Animal Behavior&Communication (A),WI08,127,73,95.8%,95.8%,3.75,B+ (3.47),B (3.06)
288,"Jetz, Walter",BIEB 100 - Biometry (A),FA07,96,47,82.6%,84.4%,4.76,B+ (3.60),B- (2.95)
289,"Holway, David A.",BIEB 102 - Intro Eclgy/Organisms&Habitats (A),FA07,150,93,86.7%,88.9%,4.3,B (3.28),C+ (2.60)
290,"Burton, Ronald S.",BIEB 132 - Introduction to Marine Biology (A),FA07,184,103,96.0%,96.0%,3.89,B+ (3.31),B- (2.73)
291,"Hastings, Philip A.",BIEB 132 - Introduction to Marine Biology (A),FA07,184,103,96.0%,96.0%,3.89,B+ (3.31),B- (2.73)
292,"Latz, Michael I",BIEB 132 - Introduction to Marine Biology (A),FA07,184,103,96.0%,96.0%,3.89,B+ (3.31),B- (2.73)
