,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
1081,"Gao, Sicun",CSE 150 - Int Artif Intell:Search&Reason (A),WI19,301,90,98.8%,97.6%,7.88,A- (3.79),A- (3.79)
1082,"Dasgupta, Sanjoy",CSE 151 - Intro to A.I. Stats Approach (A),WI19,174,53,94.0%,94.0%,6.09,B+ (3.63),B+ (3.63)
1083,"Berg-Kirkpatrick, Taylor D",CSE 151 - Intro to A.I. Stats Approach (B),WI19,41,13,75.0%,50.0%,9.0,B+ (3.55),B+ (3.34)
1084,"Chandraker, Manmohan Krishna",CSE 152 - Intro to Computer Vision (A),WI19,53,30,86.7%,70.0%,9.33,B+ (3.52),B+ (3.45)
1085,"Ochoa, Benjamin Lawrence",CSE 15L - Software Tools&Techniques Lab (A),WI19,188,89,82.5%,96.2%,3.24,B+ (3.67),B (3.29)
1086,"Ochoa, Benjamin Lawrence",CSE 15L - Software Tools&Techniques Lab (B),WI19,187,84,85.9%,89.6%,3.99,B+ (3.62),B (3.29)
1087,"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (C),WI19,137,69,79.0%,80.3%,4.09,B+ (3.68),B+ (3.33)
1088,"Schulze, Jurgen P.",CSE 165 - 3D User Interaction (A),WI19,43,14,100.0%,100.0%,8.65,A- (3.77),A- (3.87)
1089,"Ramamoorthi, Ravi",CSE 167 - Computer Graphics (A),WI19,137,67,96.9%,100.0%,10.26,B+ (3.51),B (3.29)
1090,"Rotenberg, Steven Paul",CSE 169 - Computer Animation (A),WI19,28,8,100.0%,100.0%,8.5,A- (3.88),B+ (3.52)
1091,"Klemmer, Scott R",CSE 170 - Interaction Design (A),WI19,22,10,40.0%,30.0%,10.7,B+ (3.30),B+ (3.51)
1092,"Safonova, Iana",CSE 180 - Biology Meets Computing (A),WI19,26,12,58.3%,25.0%,8.17,B+ (3.63),B+ (3.31)
1093,"Pevzner, Pavel Arkadjevich",CSE 181 - Molecular Sequence Analysis (A),WI19,12,6,83.3%,66.7%,13.17,B+ (3.33),
1094,"Shalev, Aaron D",CSE 190 - Topics/Computer Sci & Engineer (A),WI19,12,6,100.0%,100.0%,9.3,A- (3.75),
1095,"Bach, Quang Tran",CSE 20 - Intro/Discrete Mathematics (A),WI19,250,110,88.6%,94.2%,7.2,B (3.22),B (3.23)
1096,"Kahng, Andrew Byun",CSE 21 - Math/Algorithm&Systems Analys (A),WI19,142,51,95.8%,93.6%,7.38,B+ (3.43),B (3.08)
1097,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (B),WI19,155,45,88.1%,95.2%,6.35,B (3.29),B (3.10)
1098,"Ord, Richard",CSE 30 - Computer Organiz&Systms Progrm (A),WI19,123,40,77.8%,91.7%,15.76,B (3.15),C+ (2.57)
1099,"Ord, Richard",CSE 30 - Computer Organiz&Systms Progrm (B),WI19,128,36,88.2%,91.2%,14.44,B (3.16),C+ (2.57)
1100,"Cottrell, Garrison W",CSE 87 - Freshman Seminar (A),WI19,14,7,85.7%,85.7%,0.5,A (4.00),
1101,"Gillespie, Gary N",CSE 8A - Intro/Computer Sci: Java (I) (A),WI19,176,130,92.8%,86.1%,8.88,B+ (3.61),B+ (3.34)
1102,"Gillespie, Gary N",CSE 8A - Intro/Computer Sci: Java (I) (B),WI19,177,132,85.7%,81.5%,9.02,B+ (3.54),B+ (3.34)
1103,"Cao, Yingjun",CSE 8B - Intro/Computer Sci. Java (II) (A),WI19,370,311,89.4%,89.3%,14.88,B (3.14),B- (2.76)
