,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
119,"Teranes, Jane",ESYS 190B - Envir Sys/Senior Seminar (A),SP09,38,33,100.0%,100.0%,5.77,A- (3.97),A- (3.93)
120,"Blackman, Donna K.",ESYS 102 - The Solid & Fluid Earth (A),WI09,67,51,72.9%,70.2%,4.46,B (3.22),B (3.15)
121,"Hendershott, Myrl C.",ESYS 102 - The Solid & Fluid Earth (A),WI09,67,51,72.9%,70.2%,4.46,B (3.22),B (3.15)
122,"Teranes, Jane",ESYS 102 - The Solid & Fluid Earth (A),WI09,67,51,72.9%,70.2%,4.46,B (3.22),B (3.15)
123,"McDonald, Kim",ESYS 120 - Science & Environmental Writng (A),WI09,21,18,100.0%,100.0%,2.94,A- (3.82),B (3.24)
124,"Teranes, Jane",ESYS 10 - Intro to Environmental Systems (A),FA08,43,21,95.2%,100.0%,3.55,B+ (3.33),B (3.08)
125,"Burton, Ronald S.",ESYS 101 - Environmental Biology (A),FA08,78,49,66.0%,77.3%,3.72,B (3.15),B- (2.86)
126,"Palenik, Brian",ESYS 101 - Environmental Biology (A),FA08,78,50,72.7%,41.7%,2.5,B (3.15),B- (2.86)
127,"Teranes, Jane",ESYS 90 - Undergraduate Seminar (A),FA08,25,22,100.0%,100.0%,0.5,A (4.00),
128,"Gille, Sarah T",ESYS 103 - The Human Earth (A),SP08,70,46,76.7%,81.4%,3.17,,B (3.12)
129,"Taylor, Stephen V.",ESYS 103 - The Human Earth (B),SP08,104,31,96.8%,90.3%,4.05,,B (3.20)
130,"Sclater, John G.",ESYS 150 - Environmental Perils (A),SP08,22,16,93.3%,93.3%,2.13,A- (3.87),B+ (3.41)
131,"Teranes, Jane",ESYS 190B - Envir Sys/Senior Seminar (A),SP08,33,27,100.0%,95.8%,6.33,A- (3.91),A- (3.94)
132,"Charles, Christopher D.",ESYS 10 - Intro to Environmental Systems (A),WI08,45,26,68.0%,76.0%,2.27,B (3.20),B (3.14)
133,"Blackman, Donna K.",ESYS 102 - The Solid & Fluid Earth (A),WI08,64,39,78.4%,75.7%,3.69,B+ (3.35),B+ (3.34)
134,"Hendershott, Myrl C.",ESYS 102 - The Solid & Fluid Earth (A),WI08,64,39,78.4%,75.7%,3.69,B+ (3.35),B+ (3.34)
135,"Teranes, Jane",ESYS 102 - The Solid & Fluid Earth (A),WI08,64,39,78.4%,75.7%,3.69,B+ (3.35),B+ (3.34)
136,"Burton, Ronald S.",ESYS 101 - Environmental Biology (A),FA07,62,49,89.6%,89.4%,3.4,B (3.25),B- (2.85)
137,"Palenik, Brian",ESYS 101 - Environmental Biology (A),FA07,62,49,89.6%,89.4%,3.4,B (3.25),B- (2.85)
138,"Teranes, Jane",ESYS 90 - Undergraduate Seminar (A),FA07,31,24,100.0%,100.0%,0.5,A (4.00),
