,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
630,"Willenbring, Jane Kathryn",SIO 106 - Introduction to Hydrogeology (A),FA17,19,7,71.4%,71.4%,5.93,B (3.29),
631,"Teranes, Jane",SIO 108 - Intro to Paleoclimatology (A),FA17,11,9,100.0%,100.0%,5.83,B+ (3.44),
632,"Keeling, Ralph F.",SIO 117 - Physical Basis of Global Warmg (A),FA17,35,9,88.9%,88.9%,5.39,B+ (3.33),B+ (3.48)
633,"Peach, Cheryl",SIO 12 - History of Earth & Evolution (A),FA17,136,59,100.0%,98.2%,2.26,A- (3.76),B+ (3.46)
634,"Allen, Andrew Ellis",SIO 123 - Microbial Env Systems Biology (A),FA17,43,42,90.5%,95.2%,3.4,A- (3.74),B+ (3.69)
635,"Burton, Ronald S.",SIO 132 - Introduction to Marine Biology (A),FA17,174,85,91.4%,93.7%,4.8,B (3.01),B- (2.84)
636,"Hechinger, Ryan F.",SIO 132 - Introduction to Marine Biology (A),FA17,174,85,91.4%,88.2%,4.8,B (3.01),B- (2.84)
637,"Cook, Orna",SIO 136 - Marine Biology Laboratory (A),FA17,24,22,100.0%,100.0%,7.36,A- (3.86),B+ (3.56)
638,"Semmens, Brice Xavier",SIO 136 - Marine Biology Laboratory (A),FA17,24,22,100.0%,100.0%,7.32,B+ (3.64),B+ (3.56)
639,"Sirovic, Ana",SIO 136 - Marine Biology Laboratory (A),FA17,24,22,100.0%,93.8%,7.32,B+ (3.64),B+ (3.56)
640,"Wegner, Nicholas Craig",SIO 136 - Marine Biology Laboratory (A),FA17,24,22,100.0%,100.0%,7.32,B+ (3.64),B+ (3.56)
641,"Cook, Orna",SIO 136 - Marine Biology Laboratory (B),FA17,18,16,100.0%,100.0%,6.17,B+ (3.33),
642,"Semmens, Brice Xavier",SIO 136 - Marine Biology Laboratory (B),FA17,18,16,100.0%,100.0%,6.37,B (3.20),
643,"Sirovic, Ana",SIO 136 - Marine Biology Laboratory (B),FA17,18,16,100.0%,92.3%,6.37,B (3.20),
644,"Laske, Gabi",SIO 15 - Natural Disasters (A),FA17,331,110,94.2%,93.2%,3.97,A- (3.77),B+ (3.58)
645,"Rivera-Collazo, Isabel C",SIO 164 - Maritime Archaeology (A),FA17,6,3,100.0%,100.0%,3.83,A (4.00),
646,"Cook, Geoffrey W",SIO 170 - Introduction to Volcanology (A),FA17,29,14,100.0%,100.0%,3.79,B+ (3.69),B+ (3.56)
647,"Rudnick, Daniel Lars",SIO 171 - Intro to Physical Oceanography (A),FA17,14,3,100.0%,100.0%,3.5,A (4.00),
648,"Hamdoun, Amr","SIO 189 - Pollution, Environmnt & Health (A)",FA17,127,64,91.7%,88.3%,4.3,B (3.20),B (3.07)
649,"Castillo, Paterno R.",SIO 30 - The Oceans (A),FA17,133,56,67.3%,74.5%,3.54,B (3.23),B (3.07)
650,"Holland, Nicholas D.",SIO 30 - The Oceans (A),FA17,133,56,67.3%,88.0%,3.54,B (3.23),B (3.07)
651,"Send, Uwe",SIO 30 - The Oceans (A),FA17,133,56,67.3%,74.0%,3.54,B (3.23),B (3.07)
652,"Barbeau, Katherine",SIO 40 - Life and Climate on Earth (A),FA17,138,126,97.6%,97.6%,3.74,B+ (3.64),B+ (3.63)
653,"Cook, Geoffrey W",SIO 50 - Intro/Earth&Environmental Sci (A),FA17,36,22,100.0%,100.0%,4.5,A- (3.84),B+ (3.52)
654,"Lucas, Andrew J.",SIO 60 - Exp/Oceanic & Atmospheric Sci (A),FA17,8,8,83.3%,83.3%,4.17,B+ (3.40),
655,"Vanos, Jennifer K.",SIO 60 - Exp/Oceanic & Atmospheric Sci (A),FA17,8,8,83.3%,83.3%,4.17,B+ (3.40),
656,"Norris, Joel Roland",SIO 87 - Freshman Seminar (A),FA17,12,6,50.0%,100.0%,0.83,,
657,"Cook, Geoffrey W",SIO 87 - Freshman Seminar (B),FA17,17,11,100.0%,100.0%,0.5,A (4.00),
658,"Gerwick, William Henry",SIO 87 - Freshman Seminar (C),FA17,14,10,87.5%,87.5%,0.5,,
659,"Harada, Alice Elizabeth",SIO 90 - Undergraduate Seminar (A),FA17,59,26,100.0%,100.0%,0.83,B+ (3.57),
660,"Joyce, Trevor William",SIO 133 - Marine Mammal Biology (A),S217,36,13,100.0%,76.9%,4.65,B+ (3.33),
661,"Krause, Douglas John",SIO 133 - Marine Mammal Biology (A),S217,36,13,100.0%,100.0%,4.65,B+ (3.33),
662,"Nicklisch, Sascha","SIO 189 - Pollution, Environmnt & Health (A)",S117,36,8,87.5%,87.5%,7.5,B (3.13),B+ (3.45)
663,"Inman, Bryce G",SIO 30 - The Oceans (A),S117,30,18,88.2%,100.0%,4.5,B (3.27),B+ (3.36)
664,"Cook, Geoffrey W",SIO 45GS - Volcanoes (A),S117,23,19,100.0%,100.0%,3.97,A- (3.89),A- (3.89)
665,"Borsa, Adrian Antal",SIO 10 - The Earth (A),SP17,145,59,93.1%,98.3%,4.22,B+ (3.53),B (3.26)
