,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
400,"Tsai, Philbert S","PHYS 1CL - Waves,Optics&Modrn Phys Lab (E)",S220,21,3,66.7%,66.7%,4.5,B+ (3.33),B+ (3.43)
401,"Meyertholen, Andrew D.",PHYS 2B - Phys-Electricity and Magnetism (A),S220,146,67,98.5%,100.0%,6.89,B+ (3.58),B+ (3.34)
402,"Premkumar, Akhil","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics (A)",S220,157,39,63.2%,47.4%,9.92,B (3.19),B (3.18)
403,"Rappel, Wouter Jan",PHYS 2CL - Phys Lab-Elec&Magnetism (A),S220,127,28,63.0%,74.1%,10.5,B+ (3.41),B+ (3.36)
404,"Shotwell, Brian",PHYS 2D - Phys-Relativity&Quantm Physics (A),S220,41,7,100.0%,85.7%,13.36,A- (3.86),A- (3.77)
405,"Chivukula, Raja S","PHYS 4B - Phys Majrs-Fluid,Wav,StatTherm (A)",S220,12,5,100.0%,100.0%,18.5,B+ (3.40),
406,"Tytler, David Robert",PHYS 9 - The Solar System (A),S220,22,7,85.7%,100.0%,11.64,B (3.00),B+ (3.33)
407,"Burgasser, Adam Jonathan",PHYS 1A - Mechanics (A),S120,186,58,78.9%,82.5%,11.17,B+ (3.51),B+ (3.60)
408,"Tsai, Philbert S",PHYS 1AL - Mechanics Laboratory (A),S120,27,8,75.0%,87.5%,5.75,B+ (3.63),B+ (3.34)
409,"Tsai, Philbert S",PHYS 1AL - Mechanics Laboratory (B),S120,22,7,71.4%,85.7%,5.07,A- (3.71),B+ (3.42)
410,"Tsai, Philbert S",PHYS 1AL - Mechanics Laboratory (C),S120,24,8,50.0%,62.5%,7.0,B (3.29),B+ (3.33)
411,"Tsai, Philbert S",PHYS 1AL - Mechanics Laboratory (D),S120,21,8,62.5%,100.0%,5.75,B (3.00),B+ (3.35)
412,"Tsai, Philbert S",PHYS 1AL - Mechanics Laboratory (E),S120,22,5,80.0%,100.0%,4.5,B (3.25),B+ (3.43)
