,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
254,"Johnson, Sara E.",LTEN 25 - Intro/Lit/US: Beginning - 1865 (A),FA16,44,33,93.3%,100.0%,5.03,B+ (3.32),B+ (3.34)
255,"Suzuki, Erin M.",LTEN 28 - Intr/Asian-American Literature (A),FA16,126,74,91.5%,95.8%,5.93,B+ (3.45),B+ (3.48)
256,"Kelley, Mark Brennan",LTEN 148 - Genres/English&American Lit (A),S216,9,8,100.0%,100.0%,6.75,B+ (3.38),
257,"Perez, Crystal Roxana Ramirez",LTEN 178 - Comparative Ethnic Literature (A),S216,11,3,100.0%,100.0%,11.17,B (3.00),
258,"Thompson, Katherine Anne Merit",LTEN 148 - Genres/English&American Lit (A),S116,15,9,100.0%,100.0%,5.39,B+ (3.33),
259,"Lerer, Seth",LTEN 110 - Topics: The Renaissance (A),SP16,34,18,100.0%,100.0%,4.61,A- (3.73),A- (3.79)
260,"Loose, Margaret",LTEN 124 - Topics: The 19th Century (A),SP16,7,7,100.0%,100.0%,4.17,B+ (3.67),
261,"Nicolazzo, Sarah E.",LTEN 140 - British Novel: 1790-1830 (A),SP16,26,19,100.0%,100.0%,5.56,B (3.28),B (3.29)
262,"Lampert-Weissig, Lisa",LTEN 149 - Topics: English-Language Lit (A),SP16,10,7,100.0%,100.0%,9.93,B+ (3.57),
263,"Tonkovich, Nicole","LTEN 150 - Gender, Text, and Culture (A)",SP16,16,7,85.7%,85.7%,7.07,B+ (3.50),
264,"Nicolazzo, Sarah E.",LTEN 152 - Origins of American Literature (A),SP16,17,14,92.3%,100.0%,6.04,A- (3.77),
265,"Tonkovich, Nicole",LTEN 154 - The American Renaissance (A),SP16,13,8,100.0%,100.0%,8.75,A- (3.88),
266,"Cassedy, Steven Dennis",LTEN 158 - Modern American Literature (A),SP16,10,8,100.0%,100.0%,3.75,B+ (3.50),
267,"Suzuki, Erin M.",LTEN 159 - Contemporary American Lit (A),SP16,9,9,100.0%,100.0%,7.83,B+ (3.56),
268,"Sanchez, Rosaura",LTEN 171 - Comp Iss in Latino/a Im in US (A),SP16,11,4,100.0%,100.0%,3.5,B+ (3.67),
269,"Wesling, Megan E.",LTEN 175A - New Amer Fiction:WWII-Present (A),SP16,15,10,100.0%,100.0%,6.25,B+ (3.57),
270,"Childs, Dennis R.",LTEN 185 - Themes/Afro-Americn Literature (A),SP16,31,15,100.0%,92.3%,5.83,B (3.25),B+ (3.45)
271,"Forbes, Camille",LTEN 192 - Senior Seminar in English Lit (A),SP16,7,4,100.0%,100.0%,1.0,,
272,"Loose, Margaret",LTEN 23 - Lit/British Isles:1832-Present (A),SP16,39,34,85.3%,91.2%,3.94,B+ (3.36),B- (2.94)
273,"Johnson, Sara E.",LTEN 25 - Intro/Lit/US: Beginning - 1865 (A),SP16,35,31,96.7%,100.0%,4.97,B+ (3.62),B+ (3.65)
274,"Blanco, John D",LTEN 28 - Intr/Asian-American Literature (A),SP16,87,60,89.8%,93.2%,4.89,B+ (3.64),B+ (3.66)
275,"Lampert-Weissig, Lisa",LTEN 107 - Chaucer (A),WI16,10,9,100.0%,100.0%,8.25,A- (3.75),
276,"Vitkus, Daniel J.",LTEN 113 - Shakespeare II:Jacobean Period (A),WI16,21,6,100.0%,83.3%,6.83,B (3.17),B- (2.96)
277,"Lundell, Michael J",LTEN 127 - Victorian Poetry (A),WI16,17,12,90.9%,100.0%,3.41,A- (3.73),
278,"Vitkus, Daniel J.",LTEN 149 - Topics: English-Language Lit (A),WI16,14,8,100.0%,83.3%,5.5,B+ (3.33),
279,"el Tayeb, Fatima",LTEN 155 - Interaction/Amer Lit&Vis Arts (A),WI16,19,8,100.0%,100.0%,5.25,B+ (3.50),
280,"Sanchez, Rosaura",LTEN 169 - Topics in Latino/a Literature (A),WI16,13,5,100.0%,100.0%,3.7,A- (3.80),
281,"Davidson, R. Michael",LTEN 172 - Amer Poetry II:Whitman-Modern (A),WI16,29,12,91.7%,83.3%,6.83,B+ (3.67),B+ (3.40)
282,"Lampert-Weissig, Lisa",LTEN 178 - Comparative Ethnic Literature (A),WI16,26,17,100.0%,100.0%,6.88,B+ (3.62),B+ (3.67)
283,"Nicolazzo, Sarah E.",LTEN 22 - Intro/Lit/Brtish Is:1660-1832 (A),WI16,44,30,85.2%,88.9%,4.34,B+ (3.60),A- (3.72)
284,"Wesling, Megan E.",LTEN 26 - Intro/Lit/US: 1865 - Present (A),WI16,57,27,87.5%,100.0%,5.89,B+ (3.63),B+ (3.54)
285,"Childs, Dennis R.",LTEN 27 - Intro/Afro-American Literature (A),WI16,84,37,91.4%,88.6%,5.93,B+ (3.41),B+ (3.60)
286,"Forbes, Camille",LTEN 87 - Freshman Seminar (A),WI16,12,6,100.0%,100.0%,0.83,A (4.00),
287,"Lerer, Seth",LTEN 112 - Shakespeare I: Elizabethan Prd (A),FA15,38,16,100.0%,100.0%,6.1,B+ (3.60),B+ (3.69)
288,"Vitkus, Daniel J.",LTEN 117 - Topics: The 17th Century (A),FA15,13,9,50.0%,75.0%,6.0,B+ (3.38),
289,"Suzuki, Erin M.",LTEN 149 - Topics: English-Language Lit (A),FA15,18,13,92.3%,92.3%,8.04,B+ (3.38),
290,"Cassedy, Steven Dennis",LTEN 176 - Major American Writers (A),FA15,36,16,100.0%,93.8%,5.3,B+ (3.54),B+ (3.33)
291,"Suzuki, Erin M.",LTEN 189 - 20th Century Postcolonial Lits (A),FA15,15,4,100.0%,100.0%,3.83,B (3.00),
292,"Lerer, Seth",LTEN 21 - Intro/Lit/Brit Isles: pre-1660 (A),FA15,63,33,96.8%,100.0%,5.98,B+ (3.39),B+ (3.38)
293,"Sanchez, Rosaura",LTEN 29 - Intro/Chicano/Latino Lit. (A),FA15,127,55,79.6%,77.8%,5.48,A- (3.70),B+ (3.54)
294,"Forbes, Camille",LTEN 87 - Freshman Seminar (A),FA15,14,9,88.9%,100.0%,2.06,A (4.00),
295,"Davidson, R. Michael",LTEN 175B - New Amer Poetry:Post WWII-Pres (A),S215,19,6,83.3%,100.0%,7.17,B+ (3.50),
296,"Mariscal, George",LTEN 180 - Chicano Literature in English (A),S115,12,4,100.0%,100.0%,5.83,B+ (3.67),
297,"Cassedy, Steven Dennis",LTEN 113 - Shakespeare II:Jacobean Period (A),SP15,32,14,100.0%,78.6%,2.5,B+ (3.69),B+ (3.41)
298,"Davidson, R. Michael",LTEN 132 - Topics: Modern Irish Lit (A),SP15,29,10,90.0%,100.0%,5.1,B+ (3.30),B+ (3.53)
299,"Loose, Margaret",LTEN 142 - British Novel: 1830-1890 (A),SP15,27,20,100.0%,100.0%,7.87,B+ (3.42),B (3.10)
300,"Johnson, Sara E.",LTEN 152 - Origins of American Literature (A),SP15,19,12,100.0%,100.0%,6.0,B+ (3.58),
301,"Blanco, John D",LTEN 181 - Asian American Literature (A),SP15,27,13,76.9%,84.6%,5.42,B+ (3.64),B+ (3.68)
302,"Childs, Dennis R.",LTEN 183 - Topics/African-American Prose (A),SP15,15,5,100.0%,100.0%,4.9,B+ (3.40),
303,"Childs, Dennis R.",LTEN 185 - Themes/Afro-Americn Literature (A),SP15,31,14,92.9%,92.9%,6.79,B (3.08),B+ (3.39)
304,"Loose, Margaret",LTEN 23 - Lit/British Isles:1832-Present (A),SP15,45,33,93.3%,100.0%,4.97,B+ (3.39),B+ (3.45)
305,"Mariscal, George",LTEN 29 - Intro/Chicano/Latino Lit. (A),SP15,92,42,95.0%,100.0%,3.99,A- (3.72),A- (3.79)
306,"Loose, Margaret",LTEN 124 - Topics: The 19th Century (A),WI15,21,15,93.3%,100.0%,5.43,B+ (3.54),B+ (3.61)
307,"Shevelow, Kathryn Ann",LTEN 140 - British Novel: 1790-1830 (A),WI15,44,23,95.7%,95.7%,5.98,B+ (3.70),B+ (3.47)
308,"Cancel, Robert",LTEN 159 - Contemporary American Lit (A),WI15,16,6,100.0%,100.0%,4.9,B (3.20),
309,"Tonkovich, Nicole",LTEN 174 - Amer Fiction II:Middle James (A),WI15,18,7,100.0%,100.0%,7.07,A- (3.71),
310,"O'Brien, William Arctander",LTEN 176 - Major American Writers (A),WI15,28,11,100.0%,81.8%,4.7,B+ (3.44),B (3.03)
311,"Sanchez, Rosaura",LTEN 178 - Comparative Ethnic Literature (A),WI15,30,7,100.0%,100.0%,5.7,B+ (3.67),B+ (3.50)
312,"Childs, Dennis R.",LTEN 183 - Topics/African-American Prose (A),WI15,15,4,100.0%,100.0%,7.0,B+ (3.50),
313,"Forbes, Camille",LTEN 192 - Senior Seminar in English Lit (A),WI15,12,4,100.0%,100.0%,1.5,,
314,"Vitkus, Daniel J.",LTEN 21 - Intro/Lit/Brit Isles: pre-1660 (A),WI15,20,9,88.9%,88.9%,7.83,B+ (3.33),B (3.23)
315,"Tonkovich, Nicole",LTEN 25 - Intro/Lit/US: Beginning - 1865 (A),WI15,32,11,90.9%,100.0%,7.95,B+ (3.40),B (3.15)
316,"Childs, Dennis R.",LTEN 27 - Intro/Afro-American Literature (A),WI15,86,40,85.0%,95.0%,7.3,B+ (3.50),B+ (3.67)
317,"Nicolazzo, Sarah E.",LTEN 120 - Topics: The 18th Century (A),FA14,16,7,85.7%,100.0%,4.21,A- (3.80),
318,"Loose, Margaret",LTEN 124 - Topics: The 19th Century (A),FA14,21,16,87.5%,100.0%,7.13,B+ (3.50),B (3.25)
319,"Loose, Margaret",LTEN 127 - Victorian Poetry (A),FA14,14,11,100.0%,100.0%,5.61,B- (2.89),
320,"Nicolazzo, Sarah E.",LTEN 149 - Topics: English-Language Lit (A),FA14,10,5,100.0%,100.0%,5.5,A- (3.75),
321,"Tonkovich, Nicole",LTEN 153 - Revolutnry War/Early Natnl Prd (A),FA14,21,9,100.0%,100.0%,5.83,B+ (3.60),B+ (3.59)
322,"Davidson, R. Michael",LTEN 159 - Contemporary American Lit (A),FA14,35,7,100.0%,100.0%,4.1,B (3.25),B (3.13)
323,"Cancel, Robert",LTEN 188 - Contemporary Caribbean Lit (A),FA14,13,9,66.7%,77.8%,6.28,A- (3.71),
324,"Shevelow, Kathryn Ann",LTEN 22 - Intro/Lit/Brtish Is:1660-1832 (A),FA14,64,29,92.3%,100.0%,5.86,A- (3.72),B+ (3.40)
325,"Davidson, R. Michael",LTEN 26 - Intro/Lit/US: 1865 - Present (A),FA14,62,24,83.3%,79.2%,6.17,B (3.18),B (3.11)
326,"Lin, Chien-Ting",LTEN 28 - Intr/Asian-American Literature (A),FA14,124,55,70.0%,68.0%,4.7,B+ (3.68),B+ (3.32)
327,"Forbes, Camille",LTEN 87 - Freshman Seminar (A),FA14,12,8,100.0%,100.0%,1.36,A (4.00),
328,"Rahimi, Babak",LTEN 131GS - British Literature and Culture (A),S214,28,13,91.7%,91.7%,5.23,A- (3.73),A- (3.95)
329,"Gonzales, Paulina Margarita",LTEN 158 - Modern American Literature (A),S214,16,3,100.0%,100.0%,5.83,A (4.00),
330,"Loose, Margaret",LTEN 148 - Genres/English&American Lit (A),SP14,20,20,95.0%,100.0%,7.5,B+ (3.40),B (3.13)
331,"Lampert-Weissig, Lisa",LTEN 149 - Topics: English-Language Lit (A),SP14,17,7,83.3%,100.0%,7.83,B+ (3.60),
332,"Tonkovich, Nicole",LTEN 154 - The American Renaissance (A),SP14,19,7,100.0%,100.0%,7.64,B+ (3.50),
333,"Tonkovich, Nicole",LTEN 156 - Amer Lit/Civil War-World War I (A),SP14,17,4,100.0%,100.0%,9.0,A- (3.75),
334,"Chang, Alex",LTEN 181 - Asian American Literature (A),SP14,27,9,62.5%,87.5%,4.0,B+ (3.33),B (3.06)
335,"Childs, Dennis R.",LTEN 183 - Topics/African-American Prose (A),SP14,12,6,100.0%,100.0%,4.5,B+ (3.60),
336,"Childs, Dennis R.",LTEN 185 - Themes/Afro-Americn Literature (A),SP14,27,7,100.0%,100.0%,5.93,B+ (3.67),B+ (3.56)
337,"Forbes, Camille",LTEN 192 - Senior Seminar in English Lit (A),SP14,10,4,100.0%,100.0%,1.0,,
338,"Loose, Margaret",LTEN 23 - Lit/British Isles:1832-Present (A),SP14,53,39,86.8%,94.7%,4.55,B+ (3.50),B (3.12)
339,"Davidson, R. Michael",LTEN 26 - Intro/Lit/US: 1865 - Present (A),SP14,65,32,90.0%,93.3%,5.47,B (3.21),B (3.25)
340,"Sanchez, Rosaura",LTEN 29 - Intro/Chicano/Latino Lit. (A),SP14,89,36,54.3%,65.7%,3.97,B+ (3.48),B (3.02)
341,"Armantrout, Rae",LTEN 30 - Poetry for Physicists (A),SP14,9,3,100.0%,100.0%,2.5,B+ (3.50),
342,"Keating, Brian",LTEN 30 - Poetry for Physicists (A),SP14,9,3,100.0%,100.0%,3.17,B+ (3.50),
343,"Cassedy, Steven Dennis",LTEN 87 - Freshman Seminar (A),SP14,16,8,100.0%,100.0%,0.75,,
344,"Lampert-Weissig, Lisa",LTEN 107 - Chaucer (A),WI14,16,10,100.0%,100.0%,5.7,A- (3.70),
345,"Farr, Jason Spencer",LTEN 117 - Topics: The 17th Century (A),WI14,15,8,100.0%,100.0%,5.75,B+ (3.33),
346,"Randel, Fred V.",LTEN 125 - Romantic Poetry (A),WI14,27,14,85.7%,92.9%,4.5,B (3.15),B- (2.92)
347,"Tonkovich, Nicole",LTEN 148 - Genres/English&American Lit (A),WI14,15,3,100.0%,100.0%,7.83,B+ (3.50),
348,"Davidson, R. Michael",LTEN 175B - New Amer Poetry:Post WWII-Pres (A),WI14,26,10,100.0%,100.0%,5.1,B+ (3.33),B (3.26)
349,"Lampert-Weissig, Lisa",LTEN 178 - Comparative Ethnic Literature (A),WI14,20,10,100.0%,100.0%,7.61,A- (3.80),B+ (3.46)
350,"Childs, Dennis R.",LTEN 185 - Themes/Afro-Americn Literature (A),WI14,22,13,92.3%,92.3%,5.88,A- (3.75),B+ (3.67)
351,"Shevelow, Kathryn Ann",LTEN 22 - Intro/Lit/Brtish Is:1660-1832 (A),WI14,41,23,95.7%,95.7%,5.2,B+ (3.52),B (3.11)
352,"Tonkovich, Nicole",LTEN 25 - Intro/Lit/US: Beginning - 1865 (A),WI14,35,10,85.7%,71.4%,5.64,B (3.14),B (3.13)
353,"Blanco, John D",LTEN 28 - Intr/Asian-American Literature (A),WI14,72,34,66.7%,66.7%,5.29,B+ (3.31),B (3.22)
