,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
748,"Tseng, Hung-Wei",CSE 141 - Intro/Computer Architecture (A),S219,28,16,86.7%,100.0%,8.63,B (3.27),B+ (3.59)
749,"Merrill, Devon James",CSE 141 - Intro/Computer Architecture (B),S219,15,4,75.0%,100.0%,8.5,B+ (3.50),
750,"Tseng, Hung-Wei",CSE 141L - Project/Computer Architecture (A),S219,35,12,72.7%,90.9%,12.14,B (3.27),B (3.25)
751,"Merrill, Devon James",CSE 141L - Project/Computer Architecture (B),S219,16,4,75.0%,75.0%,8.0,A- (3.75),
752,"Geumlek, Joseph Donald",CSE 151 - Intro to A.I. Stats Approach (A),S219,34,24,100.0%,100.0%,8.83,B (3.21),B+ (3.34)
753,"Kumar, Rakesh",CSE 190 - Topics/Computer Sci & Engineer (A),S219,19,6,100.0%,100.0%,5.83,B+ (3.67),
754,"Bach, Quang Tran",CSE 20 - Intro/Discrete Mathematics (A),S219,26,6,100.0%,80.0%,7.17,B+ (3.67),B+ (3.50)
755,"Braun, Oliver",CSE 21 - Math/Algorithm&Systems Analys (A),S219,37,32,81.3%,87.5%,6.56,B (3.00),B- (2.73)
756,"Bach, Quang Tran",CSE 21 - Math/Algorithm&Systems Analys (B),S219,35,13,92.3%,83.3%,7.73,B+ (3.54),B- (2.88)
757,"Cao, Yingjun",CSE 30 - Computer Organiz&Systms Progrm (A),S219,30,16,86.7%,93.3%,18.63,B (3.21),C+ (2.47)
758,"Miranda, Gregory Joseph",CSE 5A - Introduction to Programming I (A),S219,37,28,96.3%,100.0%,6.5,A- (3.93),A- (3.72)
759,"Miranda, Gregory Joseph",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),S119,31,8,100.0%,87.5%,17.75,B+ (3.67),B+ (3.31)
760,"August, Robert Henry",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (B),S119,27,6,66.7%,83.3%,7.17,B+ (3.50),B- (2.95)
761,"Pister, Kaiser Stefan",CSE 130 - Progrmng Lang:Princpl&Paradigm (A),S119,27,5,100.0%,100.0%,10.1,B (3.20),B+ (3.35)
762,"Powell, Thomas Allan",CSE 134B - Web Client Languages (A),S119,42,9,66.7%,83.3%,13.36,B+ (3.50),B+ (3.36)
763,"Eldon, John",CSE 140 - Component&Desgn Tech/Digtl Sys (A),S119,61,17,88.2%,76.5%,7.32,B+ (3.35),B (3.01)
764,"Eldon, John",CSE 140L - Digital Systems Laboratory (A),S119,75,20,88.9%,88.9%,9.17,A- (3.78),B+ (3.53)
765,"Tseng, Hung-Wei",CSE 141 - Intro/Computer Architecture (A),S119,27,6,83.3%,83.3%,8.5,B+ (3.50),B+ (3.70)
766,"Tseng, Hung-Wei",CSE 141L - Project/Computer Architecture (A),S119,28,5,80.0%,60.0%,11.3,B+ (3.60),B+ (3.43)
767,"Geumlek, Joseph Donald",CSE 151 - Intro to A.I. Stats Approach (A),S119,39,6,100.0%,100.0%,6.83,B+ (3.50),B+ (3.41)
768,"Kumar, Rakesh",CSE 190 - Topics/Computer Sci & Engineer (A),S119,23,10,88.9%,88.9%,5.17,A- (3.89),B+ (3.46)
769,"Bach, Quang Tran",CSE 20 - Intro/Discrete Mathematics (A),S119,30,9,100.0%,100.0%,7.39,B+ (3.44),B- (2.79)
770,"Bach, Quang Tran",CSE 21 - Math/Algorithm&Systems Analys (A),S119,40,15,92.3%,84.6%,6.33,B+ (3.31),C+ (2.66)
771,"Miranda, Gregory Joseph",CSE 5A - Introduction to Programming I (A),S119,32,6,100.0%,100.0%,9.7,A (4.00),B+ (3.32)
772,"Gupta, Anjum",CSE 7 - Intro/Programming with MATLAB (A),S119,29,15,100.0%,93.3%,6.23,B+ (3.43),B (3.05)
773,"Cao, Yingjun",CSE 100 - Advanced Data Structures (A),SP19,191,121,86.3%,77.8%,14.88,B- (2.96),B (3.05)
774,"Cao, Yingjun",CSE 100 - Advanced Data Structures (B),SP19,190,120,83.3%,81.6%,15.8,B (3.20),B (3.05)
