,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
773,"Wishard Guerra, Alison G.",EDS 115 - Cog Development & Education (A),S311,27,11,90.9%,81.8%,6.32,A- (3.91),A- (3.73)
774,"Kravatz, Tanya Devra","EDS 117 - Language, Culture & Education (A)",S311,12,3,100.0%,100.0%,4.5,B+ (3.67),
775,"Kravatz, Tanya Devra","EDS 117 - Language, Culture & Education (A)",S311,23,8,50.0%,62.5%,7.75,A (4.00),B (3.13)
776,"Allen, Bobbie M","EDS 125 - Hist,Polic&Theory/Bilingual Ed (A)",S311,30,10,90.0%,66.7%,8.3,A (4.00),A- (3.78)
777,"Holtzman, Caren Lynn",EDS 128A - Intro/Teaching&Learning (Elem) (A),S311,24,10,100.0%,100.0%,8.5,A- (3.90),A (4.00)
778,"Allen, Bobbie M",EDS 128B - Intro/Teaching&Learning (Elem) (A),S311,25,10,100.0%,80.0%,7.9,A (4.00),A (4.00)
779,"Goodman, Jeremy Scott",EDS 20S - Intro/Principles of Learning (A),S211,140,51,92.2%,100.0%,8.5,B (3.29),
780,"Velasquez, Patrick",EDS 116 - Psych/Teach&Struc/Information (A),SP11,26,11,100.0%,100.0%,3.77,,
781,"Datnow, Amanda Lee","EDS 117 - Language, Culture & Education (A)",SP11,139,72,95.8%,98.6%,4.94,B+ (3.57),B+ (3.40)
782,"Stevens, Laura Jeanne",EDS 121B - Found of Teachg/Learng Math II (A),SP11,28,21,100.0%,100.0%,5.83,,B+ (3.30)
783,"Czworkowski, John",EDS 123 - Capstone Sem in Science Eductn (A),SP11,8,5,100.0%,100.0%,3.7,,
784,"Holtzman, Caren Lynn",EDS 128B - Intro/Teaching&Learning (Elem) (A),SP11,38,30,100.0%,100.0%,6.23,A- (3.87),A- (3.83)
785,"Halter, Christopher P.",EDS 129A - Intro/Teach&Learn (Secondary) (A),SP11,5,4,100.0%,100.0%,7.5,A (4.00),
786,"Butler, Elizabeth Annette",EDS 129C - Intro/Teach&Learn (Secondary) (A),SP11,53,51,94.0%,82.4%,7.01,B+ (3.53),B+ (3.55)
787,"Bresser, Bernard George",EDS 130 - Intro/Acad Ment/Elem Schl Stdn (A),SP11,75,40,87.5%,95.0%,6.7,A- (3.90),A- (3.77)
788,"Chung, Luz Marina",EDS 136 - Intro/Acad Tut/Second Schl Std (A),SP11,54,39,94.7%,100.0%,6.45,A- (3.78),A- (3.79)
789,"Whiteside, Linda Sue",EDS 137 - Intro/Discipl/Specific Teachng (A),SP11,18,18,100.0%,100.0%,7.61,A- (3.94),
790,"Chung, Luz Marina",EDS 138 - Intro/Acad Tutor/Chartr School (A),SP11,44,21,70.0%,90.0%,6.5,A- (3.70),A- (3.73)
791,"Stevens, Laura Jeanne",EDS 30 - Introduction to Teaching Math (A),SP11,28,15,100.0%,100.0%,2.37,,
792,"Czworkowski, John",EDS 31 - Introductn to Teaching Science (A),SP11,15,10,100.0%,100.0%,3.1,,
793,"Chung, Luz Marina",EDS 39 - Prac/Sci&MathTeching/Learning (A),SP11,16,10,100.0%,100.0%,4.7,A (4.00),
794,"Balzano, Gerald J.",EDS 114 - Cogn Develp&Intractv Compt Env (A),WI11,6,3,66.7%,66.7%,6.5,B (3.00),
795,"Ramsey, Claire",EDS 115 - Cog Development & Education (A),WI11,64,35,88.6%,88.6%,2.39,A- (3.91),A- (3.98)
796,"Velasquez, Patrick",EDS 116 - Psych/Teach&Struc/Information (A),WI11,26,17,100.0%,93.8%,2.88,,
797,"Dietrich, Lisa Christine",EDS 118 - Adolescent Devlp & Education (A),WI11,36,23,95.5%,100.0%,5.02,A- (3.91),B+ (3.52)
798,"Munoz Sanchez, Alicia",EDS 119 - 1st&2nd Lang Lrn:Child to Adol (B),WI11,70,44,97.7%,97.7%,2.83,A- (3.77),B (3.22)
799,"Munoz Sanchez, Alicia",EDS 119 - 1st&2nd Lang Lrn:Child to Adol (B),WI11,22,11,90.9%,90.9%,4.7,B+ (3.64),B (3.22)
800,"Stevens, Laura Jeanne",EDS 121A - Found of Teachg/Learng Math I (A),WI11,42,25,100.0%,100.0%,3.86,,B (3.23)
801,"Czworkowski, John",EDS 122 - Foundn of Teach&Learn Science (B),WI11,13,7,100.0%,100.0%,2.79,,
802,"Jacob-Almeida, Rachel",EDS 126 - Social Organization/Education (A),WI11,99,53,80.8%,68.6%,5.86,,B+ (3.38)
803,"Forbes, Cheryl A",EDS 128A - Intro/Teaching&Learning (Elem) (A),WI11,43,31,100.0%,100.0%,7.02,A- (3.77),A- (3.71)
804,"Sewall, Marcia De Vore",EDS 129B - Intro/Teach&Learn (Secondary) (A),WI11,55,40,97.5%,92.5%,5.3,A- (3.92),A- (3.89)
805,"Scharton, Susan Michelle",EDS 130 - Intro/Acad Ment/Elem Schl Stdn (A),WI11,62,29,89.7%,93.1%,8.22,A- (3.85),A- (3.77)
806,"Wishard Guerra, Alison G.",EDS 131 - Intro/Early Childhood Educatn (A),WI11,30,16,100.0%,87.5%,9.38,A (4.00),A- (3.79)
807,"Chung, Luz Marina",EDS 136 - Intro/Acad Tut/Second Schl Std (A),WI11,50,42,88.1%,95.2%,8.21,A- (3.87),A- (3.91)
808,"Whiteside, Linda Sue",EDS 137 - Intro/Discipl/Specific Teachng (A),WI11,22,8,87.5%,87.5%,5.5,A- (3.71),B+ (3.37)
809,"Chung, Luz Marina",EDS 138 - Intro/Acad Tutor/Chartr School (A),WI11,29,15,86.7%,100.0%,7.43,A- (3.71),B+ (3.33)
810,"Harel, Guershon",EDS 30 - Introduction to Teaching Math (A),WI11,19,14,76.9%,69.2%,2.5,,
811,"Czworkowski, John",EDS 31 - Introductn to Teaching Science (A),WI11,18,8,87.5%,100.0%,3.5,,
812,"Chung, Luz Marina",EDS 39 - Prac/Sci&MathTeching/Learning (A),WI11,23,10,90.0%,90.0%,3.3,A (4.00),
813,"Velasquez, Patrick",EDS 116 - Psych/Teach&Struc/Information (A),FA10,14,10,100.0%,100.0%,4.3,,
814,"Chung, Luz Marina","EDS 117 - Language, Culture & Education (A)",FA10,132,64,98.4%,100.0%,5.56,B+ (3.68),A- (3.70)
815,"Allen, Bobbie M","EDS 125 - Hist,Polic&Theory/Bilingual Ed (A)",FA10,64,35,88.6%,62.9%,4.21,A- (3.86),B+ (3.49)
816,"Millstone, Rachel Diana",EDS 129A - Intro/Teach&Learn (Secondary) (A),FA10,38,21,81.0%,100.0%,8.12,A- (3.90),B+ (3.68)
817,"Holtzman, Caren Lynn",EDS 130 - Intro/Acad Ment/Elem Schl Stdn (A),FA10,88,41,100.0%,97.6%,6.6,A- (3.92),A- (3.88)
818,"Butler, Elizabeth Annette",EDS 136 - Intro/Acad Tut/Second Schl Std (A),FA10,50,46,80.4%,78.3%,7.08,B+ (3.56),B+ (3.48)
819,"Stevens, Laura Jeanne",EDS 30 - Introduction to Teaching Math (A),FA10,24,21,100.0%,100.0%,0.98,,
820,"Burrows-Goodwill, Shivani L",EDS 115 - Cog Development & Education (A),SU10,27,10,80.0%,60.0%,9.9,A (4.00),
821,"Ong-Dean, Colin William","EDS 117 - Language, Culture & Education (A)",SU10,43,18,66.7%,50.0%,7.83,,
822,"Allen, Bobbie M","EDS 125 - Hist,Polic&Theory/Bilingual Ed (A)",SU10,27,11,100.0%,72.7%,10.14,A (4.00),
823,"Holtzman, Caren Lynn",EDS 128A - Intro/Teaching&Learning (Elem) (A),SU10,20,9,100.0%,100.0%,13.61,A (4.00),
824,"Allen, Bobbie M",EDS 128B - Intro/Teaching&Learning (Elem) (A),SU10,21,9,88.9%,77.8%,10.06,A (4.00),
825,"Goodman, Jeremy Scott",EDS 20S - Intro/Principles of Learning (A),SU10,140,76,98.7%,97.4%,9.86,B (3.19),
826,"Deak, Gedeon O.",EDS 115 - Cog Development & Education (A),SP10,83,74,83.6%,80.6%,4.96,B+ (3.30),B (3.02)
827,"Velasquez, Patrick",EDS 116 - Psych/Teach&Struc/Information (A),SP10,39,22,95.2%,100.0%,3.14,,
828,"Mehan, Hugh B.",EDS 126 - Social Organization/Education (A),SP10,108,67,94.0%,98.5%,4.44,,B+ (3.32)
829,"Holtzman, Caren Lynn",EDS 128B - Intro/Teaching&Learning (Elem) (A),SP10,58,42,100.0%,97.6%,5.72,A- (3.90),A- (3.76)
830,"Halter, Christopher P.",EDS 129A - Intro/Teach&Learn (Secondary) (A),SP10,6,4,100.0%,100.0%,4.0,A (4.00),
831,"Butler, Elizabeth Annette",EDS 129C - Intro/Teach&Learn (Secondary) (A),SP10,51,50,100.0%,93.8%,5.9,B+ (3.68),A- (3.76)
832,"Bresser, Bernard George",EDS 130 - Intro/Acad Ment/Elem Schl Stdn (A),SP10,76,47,91.3%,100.0%,7.31,A- (3.78),A- (3.81)
833,"Chung, Luz Marina",EDS 136 - Intro/Acad Tut/Second Schl Std (A),SP10,49,27,85.2%,100.0%,8.2,A- (3.84),B+ (3.61)
834,"Chung, Luz Marina",EDS 138 - Intro/Acad Tutor/Chartr School (A),SP10,51,42,85.7%,95.2%,6.74,A- (3.78),A- (3.90)
835,"Stevens, Laura Jeanne",EDS 30 - Introduction to Teaching Math (A),SP10,28,19,94.7%,100.0%,2.29,,
836,"Chung, Luz Marina",EDS 39 - Prac/Sci&MathTeching/Learning (A),SP10,17,13,100.0%,100.0%,6.96,A (4.00),
837,"Balzano, Gerald J.",EDS 114 - Cogn Develp&Intractv Compt Env (A),WI10,17,9,44.4%,44.4%,3.83,B (3.22),
838,"Velasquez, Patrick",EDS 116 - Psych/Teach&Struc/Information (A),WI10,24,13,100.0%,100.0%,3.42,A (4.00),
839,"Datnow, Amanda Lee","EDS 117 - Language, Culture & Education (A)",WI10,139,72,90.3%,98.6%,4.28,B+ (3.61),B+ (3.37)
840,"Dietrich, Lisa Christine",EDS 118 - Adolescent Devlp & Education (A),WI10,48,25,100.0%,92.0%,5.22,A- (3.79),B+ (3.56)
841,"Munoz Sanchez, Alicia",EDS 119 - 1st&2nd Lang Lrn:Child to Adol (A),WI10,90,54,90.7%,96.3%,3.46,,B (3.07)
842,"Czworkowski, John",EDS 122 - Foundn of Teach&Learn Science (A),WI10,13,6,100.0%,100.0%,4.5,,
843,"Forbes, Cheryl A",EDS 128A - Intro/Teaching&Learning (Elem) (A),WI10,70,32,93.5%,93.5%,4.76,B+ (3.65),A- (3.81)
844,"Sewall, Marcia De Vore",EDS 129B - Intro/Teach&Learn (Secondary) (A),WI10,51,30,100.0%,93.3%,4.77,A- (3.97),A- (3.89)
845,"Scharton, Susan Michelle",EDS 130 - Intro/Acad Ment/Elem Schl Stdn (A),WI10,69,32,96.9%,100.0%,5.75,A (4.00),B+ (3.69)
846,"Chung, Luz Marina",EDS 136 - Intro/Acad Tut/Second Schl Std (A),WI10,62,22,86.4%,100.0%,5.95,A- (3.80),B+ (3.53)
847,"Long, Pamela Kay",EDS 137 - Intro/Discipl/Specific Teachng (A),WI10,20,11,100.0%,100.0%,4.14,A- (3.89),A- (3.85)
848,"Butler, Elizabeth Annette",EDS 138 - Intro/Acad Tutor/Chartr School (A),WI10,29,19,63.2%,63.2%,8.61,B+ (3.31),B+ (3.38)
849,"Harel, Guershon",EDS 30 - Introduction to Teaching Math (A),WI10,15,10,100.0%,90.0%,3.1,,
850,"Czworkowski, John",EDS 31 - Introductn to Teaching Science (A),WI10,15,8,87.5%,100.0%,3.93,,
851,"Mehan, Hugh B.","EDS 117 - Language, Culture & Education (A)",FA09,118,82,88.9%,93.8%,4.5,,B (3.12)
852,"Binder, Amy",EDS 126 - Social Organization/Education (A),FA09,56,38,94.6%,94.7%,4.29,,B (3.19)
853,"Millstone, Rachel",EDS 129A - Intro/Teach&Learn (Secondary) (A),FA09,44,38,100.0%,100.0%,4.55,A- (3.76),B+ (3.64)
854,"Holtzman, Caren Lynn",EDS 130 - Intro/Acad Ment/Elem Schl Stdn (A),FA09,62,46,97.8%,100.0%,5.41,A- (3.91),A- (3.77)
