,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
165,"Drews, Aaron",NANO 15 - Engin. Comp Using MATLAB (C),FA18,19,9,100.0%,100.0%,10.06,B+ (3.33),
166,"Xu, Sheng",NANO 156 - Nanomaterials (A),FA18,103,78,90.8%,93.4%,4.34,B+ (3.54),B+ (3.69)
167,"Herz, Richard K",NANO 15 - Engin. Comp Using MATLAB (A),S218,6,3,100.0%,100.0%,4.5,B+ (3.67),
168,"Chen, Yi",NANO 103 - Foundatn NanoEng/Biochem Princ (A),SP18,63,26,56.0%,68.0%,3.86,B+ (3.44),B+ (3.48)
169,"Ong, Shyue Ping",NANO 106 - Crystallography of Materials (A),SP18,67,63,81.0%,93.5%,8.21,B (3.13),B- (2.92)
170,"Chen, Shaochen",NANO 112 - Synthesis/Fabricatn/NanoEngSys (A),SP18,43,16,75.0%,87.5%,2.63,A- (3.81),B+ (3.69)
171,"Tao, Andrea Rae",NANO 120B - NanoEng Systems Design II (A),SP18,24,9,87.5%,71.4%,8.25,B+ (3.38),B+ (3.41)
172,"Sirbuly, Donald",NANO 120B - NanoEng Systems Design II (B),SP18,18,5,100.0%,100.0%,5.3,B+ (3.60),
173,"Lipomi, Darren John",NANO 134 - Polymeric Materials (A),SP18,62,35,91.2%,97.1%,6.21,B+ (3.40),B (3.14)
174,"Meng, Y.Shirley",NANO 148 - Thermodynamics of Materials (A),SP18,41,35,100.0%,100.0%,5.41,B+ (3.50),B+ (3.55)
175,"Lubarda, Vlado",NANO 161 - Material Selection/Engineering (A),SP18,20,11,90.9%,90.9%,5.41,B+ (3.45),B+ (3.41)
176,"Luo, Jian",NANO 1 - NanoEngineering Seminar (A),WI18,18,8,100.0%,87.5%,1.5,B+ (3.50),
177,"Luo, Jian",NANO 1 - NanoEngineering Seminar (B),WI18,8,6,50.0%,83.3%,0.5,A (4.00),
178,"Cubukcu, Ertugrul",NANO 100L - Physical Prop.of Materials Lab (A),WI18,20,6,100.0%,100.0%,6.9,A- (3.83),A- (3.79)
179,"Lipomi, Darren John",NANO 101 - Introduction to NanoEngineerng (A),WI18,82,43,100.0%,100.0%,6.16,B+ (3.46),B (3.29)
180,"Vazquez Mena, Oscar",NANO 104 - Foundatn NanoEng/Physical Prin (A),WI18,63,26,26.1%,26.1%,4.33,B+ (3.43),B (3.28)
181,"Cubukcu, Ertugrul",NANO 107 - Elect Dev&Circuits for NanoEng (A),WI18,65,22,80.0%,90.0%,6.9,B (3.14),B (3.27)
182,"Fenning, David",NANO 111 - Characterization/NanoEng Systm (B),WI18,47,19,77.8%,77.8%,6.82,B (3.06),B (3.13)
183,"Ong, Shyue Ping",NANO 114 - Prob and Stat Methods for Eng (A),WI18,14,8,100.0%,75.0%,6.5,B+ (3.38),
184,"Chen, Yi",NANO 120A - NanoEng Systems Design I (A),WI18,27,11,90.9%,100.0%,9.05,B (3.18),B+ (3.62)
185,"Lubarda, Vlado",NANO 141A - Eng Mech I: Analysis of Equil (A),WI18,18,6,83.3%,100.0%,5.5,B+ (3.67),
186,"Yang, Kesong",NANO 15 - Engin. Comp Using MATLAB (A),WI18,19,13,84.6%,91.7%,3.88,A- (3.88),
187,"Drews, Aaron",NANO 15 - Engin. Comp Using MATLAB (B),WI18,9,5,100.0%,100.0%,6.5,B (3.20),
188,"Meyers, Marc",NANO 150 - Mechanics of Nanomaterials (A),WI18,15,8,62.5%,62.5%,6.5,B (3.13),
189,"Vazquez Mena, Oscar",NANO 4 - Experience NanoEngineering (A),WI18,20,10,100.0%,100.0%,1.17,,
190,"Xu, Sheng",NANO 4 - Experience NanoEngineering (C),WI18,13,11,90.9%,100.0%,1.23,A (4.00),
191,"Xu, Sheng",NANO 4 - Experience NanoEngineering (D),WI18,10,6,83.3%,100.0%,1.17,A (4.00),
192,"Jokerst, Jesse Vincent",NANO 102 - Foundatn NanoEng: Chem Princpl (A),FA17,70,62,93.4%,86.9%,6.47,B (3.28),B (3.05)
193,"Vecchio, Kenneth S",NANO 108 - Materials Science & Engineerng (A),FA17,55,29,67.9%,60.7%,6.07,B (3.26),B- (2.82)
