,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
20,"Cancel, Robert",TWS 21 - Third World Literatures (A),FA15,61,25,73.9%,69.6%,5.28,B+ (3.45),B (3.16)
21,"Woodhull, Winifred Johanna",TWS 24 - Third World Literatures (A),SP15,24,10,70.0%,70.0%,4.5,A (4.00),A- (3.96)
22,"Chacon, Gloria Elizabeth",TWS 22 - Third World Literatures (A),WI15,88,40,75.7%,67.6%,3.15,A- (3.80),A- (3.73)
23,"Zhiri, Oumelbanine",TWS 25 - Third World Literatures (A),FA14,130,44,81.0%,73.8%,2.5,A- (3.89),A- (3.94)
24,"Zhang, Yingjin",TWS 23 - Third World Literatures (A),SP14,128,47,84.8%,93.5%,4.33,B+ (3.48),B (3.05)
25,"Sanchez, Rosaura",TWS 22 - Third World Literatures (A),WI14,118,45,81.8%,81.8%,3.85,B+ (3.32),B (3.10)
26,"Cancel, Robert",TWS 21 - Third World Literatures (A),FA13,111,54,71.7%,79.2%,4.66,B (3.15),B- (2.97)
27,"Rahimi, Babak",TWS 25 - Third World Literatures (A),SP13,115,36,66.7%,86.1%,3.13,B (3.21),B+ (3.63)
28,"Martin-Cabrera, Luis",TWS 22 - Third World Literatures (A),WI13,86,36,77.8%,80.6%,4.97,B+ (3.48),B (3.02)
29,"Woodhull, Winifred Johanna",TWS 24 - Third World Literatures (A),FA12,60,29,62.5%,33.3%,5.08,B (3.22),B+ (3.38)
30,"Rahimi, Babak",TWS 25 - Third World Literatures (A),SP12,127,52,78.4%,86.3%,3.13,B+ (3.42),B (3.22)
31,"Cancel, Robert",TWS 21 - Third World Literatures (A),WI12,72,33,78.8%,84.8%,5.29,B+ (3.32),B (3.02)
32,"Zhang, Yingjin",TWS 23 - Third World Literatures (A),FA11,126,76,80.3%,81.3%,3.87,B+ (3.69),B (3.27)
33,"Sanchez, Rosaura",TWS 22 - Third World Literatures (A),SP11,79,41,85.0%,80.0%,4.55,B+ (3.33),B+ (3.41)
34,"George, Rosemary Marangoly",TWS 26 - Third World Literatures (A),WI11,127,69,76.8%,75.4%,4.38,B+ (3.44),B+ (3.31)
35,"Woodhull, Winifred Johanna",TWS 24 - Third World Literatures (A),FA10,118,69,53.6%,20.3%,4.79,B+ (3.39),B (3.29)
36,"Cancel, Robert",TWS 21 - Third World Literatures (A),SP10,76,35,67.6%,97.1%,4.44,B+ (3.30),B (3.17)
37,"Zhang, Yingjin",TWS 23 - Third World Literatures (A),WI10,120,56,80.4%,80.0%,3.29,B+ (3.43),B (3.03)
38,"George, Rosemary Marangoly",TWS 26 - Third World Literatures (A),FA09,130,107,68.9%,67.0%,3.23,B+ (3.44),B- (2.97)
39,"Zhiri, Oumelbanine",TWS 25 - Third World Literatures (A),SP09,130,57,84.2%,84.2%,3.26,A- (3.76),B+ (3.39)
40,"Kokotovic, Milos",TWS 22 - Third World Literatures (A),WI09,112,50,94.0%,100.0%,3.68,B+ (3.55),B+ (3.36)
41,"Zhang, Yingjin",TWS 23 - Third World Literatures (A),SP08,102,40,72.5%,77.5%,2.96,B+ (3.38),B (3.08)
42,"Cancel, Robert",TWS 21 - Third World Literatures (A),WI08,99,49,89.8%,95.9%,3.07,B (3.29),B- (2.71)
43,"George, Rosemary Marangoly",TWS 26 - Third World Literatures (A),FA07,123,78,87.0%,89.3%,3.32,B+ (3.60),B (3.13)
