,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
14,"Tosun, Adriana",CAT 125R - Pub Rhet & Prac Comm Online (G),SP23,20,16,100.0%,100.0%,4.5,B+ (3.69),A- (3.79)
15,"Marchisotto, Jennifer Anne","CAT 3 - Culture, Art, and Technology 3 (A)",SP23,267,166,83.4%,94.4%,3.52,A- (3.82),A- (3.79)
16,"Delaville, Romain","CAT 3 - Culture, Art, and Technology 3 (B)",SP23,262,115,85.0%,90.2%,3.53,A- (3.91),A- (3.87)
17,"Bigham, David Joseph","CAT 3 - Culture, Art, and Technology 3 (D)",SP23,179,100,85.6%,94.4%,3.1,A- (3.76),A- (3.71)
18,"Bigham, David Joseph",CAT 125 - Public Rhetoric & Prac Comm (0),WI23,57,40,97.5%,100.0%,2.91,A- (3.78),A- (3.88)
19,"Delaville, Romain",CAT 125 - Public Rhetoric & Prac Comm (0),WI23,20,4,100.0%,100.0%,2.0,A (4.00),A- (3.76)
20,"Geibel, William",CAT 125 - Public Rhetoric & Prac Comm (0),WI23,20,20,100.0%,100.0%,3.8,B+ (3.53),B+ (3.43)
21,"Irwin, Matthew Joseph",CAT 125 - Public Rhetoric & Prac Comm (0),WI23,38,24,100.0%,95.8%,4.0,B+ (3.70),B+ (3.57)
22,"Marchisotto, Jennifer Anne",CAT 125 - Public Rhetoric & Prac Comm (0),WI23,39,10,100.0%,100.0%,3.9,B+ (3.50),B+ (3.45)
23,"Morales, Celeste Georgianna",CAT 125 - Public Rhetoric & Prac Comm (0),WI23,60,20,84.2%,94.4%,3.24,B+ (3.59),B+ (3.59)
24,"Tosun, Adriana",CAT 125 - Public Rhetoric & Prac Comm (0),WI23,39,32,87.5%,96.9%,2.63,A- (3.84),A- (3.89)
25,"Vanderschuit, Maya Alysia",CAT 125 - Public Rhetoric & Prac Comm (0),WI23,51,43,83.3%,85.7%,3.29,B+ (3.63),B+ (3.44)
26,"Smith, Lauryn Alissa",CAT 125R - Pub Rhet & Prac Comm Online (A),WI23,20,11,90.9%,100.0%,4.32,B+ (3.55),B (3.20)
27,"Smith, Lauryn Alissa",CAT 125R - Pub Rhet & Prac Comm Online (B),WI23,18,10,88.9%,100.0%,3.39,A- (3.75),
28,"Smith, Lauryn Alissa",CAT 125R - Pub Rhet & Prac Comm Online (C),WI23,19,12,91.7%,91.7%,3.05,B+ (3.60),
29,"Hyland, Tina Mae",CAT 125R - Pub Rhet & Prac Comm Online (D),WI23,20,10,100.0%,100.0%,2.7,A- (3.70),A- (3.93)
