,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
128,"Miller, David R.",MAE 101B - Advanced Fluid Mechanics (B),SP22,71,43,88.4%,76.7%,9.76,B (3.16),B (3.12)
129,"Bahadori, Mohammad Yousef",MAE 101C - Heat Transfer (A),SP22,65,54,85.2%,77.8%,7.91,B (3.15),B- (2.81)
130,"Coimbra, Carlos F.",MAE 101D - Intermediate Heat Transfer (A),SP22,10,7,100.0%,100.0%,7.5,A- (3.83),
131,"Saintillan, David",MAE 105 - Intro to Mathematical Physics (A),SP22,95,46,78.3%,95.7%,7.8,B (3.17),B (3.06)
132,"Davidson, Michael R",MAE 107 - Computational Methods/Engineer (A),SP22,33,30,66.7%,70.0%,8.63,B- (2.80),C+ (2.54)
133,"McEneaney, William Michael",MAE 107 - Computational Methods/Engineer (B),SP22,64,35,79.4%,79.4%,6.56,B (3.06),B- (3.00)
134,"Becker, Janet Maria",MAE 108 - Prob & Stats/Method/Mech Eng (A),SP22,105,60,83.1%,86.4%,7.48,B (3.25),B (3.17)
135,"Becker, Janet Maria",MAE 123 - Intro/Transprt in Porous Media (A),SP22,12,4,75.0%,100.0%,4.0,A- (3.75),
136,"Bahadori, Mohammad Yousef",MAE 130 - Advanced Vibrations (A),SP22,23,16,81.3%,87.5%,7.25,B (3.06),B (3.02)
137,"Kamensky, David M",MAE 131A - Solid Mechanics I (A),SP22,51,44,95.5%,88.6%,6.82,B (3.05),B- (3.00)
138,"Qi, Huihui",MAE 131A - Solid Mechanics I (B),SP22,99,90,92.1%,92.0%,7.29,B (3.17),C+ (2.58)
139,"Lubarda, Marko",MAE 131A - Solid Mechanics I (C),SP22,99,52,90.2%,88.0%,7.06,B (3.14),B (3.12)
140,"Frazier, Michael",MAE 131B - Solid Mechanics II (A),SP22,19,13,84.6%,92.3%,5.88,B- (2.92),
141,"Morimoto, Tania",MAE 143B - Linear Control (B),SP22,190,177,79.1%,94.4%,9.11,B- (2.97),B- (2.85)
142,"Silberman, Jack",MAE 148 - Intro to Autonomous Vehicles (A),SP22,12,8,71.4%,57.1%,13.07,B+ (3.67),
143,"Talke, Frank E",MAE 150 - Computer-Aided Design (A),SP22,40,34,82.4%,66.7%,9.97,B (3.00),C+ (2.62)
144,"Hwang, John T",MAE 155B - Aerospace Engineering Desgn II (A),SP22,19,15,100.0%,100.0%,12.63,A- (3.73),
145,"Anderson, Mark Ronald",MAE 155B - Aerospace Engineering Desgn II (B),SP22,53,16,100.0%,93.8%,6.25,A- (3.88),A- (3.98)
146,"Delson, Nathan Joseph",MAE 156B - Fund. Prin/Mechanical Desgn II (A),SP22,21,12,91.7%,100.0%,17.83,A- (3.75),A- (3.75)
147,"Gillett, David S",MAE 156B - Fund. Prin/Mechanical Desgn II (B),SP22,24,13,100.0%,100.0%,11.0,B+ (3.45),A- (3.75)
148,"Tustaniwskyj, Jerry I",MAE 156B - Fund. Prin/Mechanical Desgn II (C),SP22,20,5,100.0%,100.0%,11.7,A (4.00),B+ (3.67)
149,"Ghazinejad, Maziar",MAE 156B - Fund. Prin/Mechanical Desgn II (D),SP22,20,9,77.8%,100.0%,12.06,B+ (3.44),A- (3.97)
150,"Xu, Sheng",MAE 166 - Modern Concepts/Nanotechnology (A),SP22,47,21,85.0%,90.0%,3.9,B (3.17),A- (3.75)
151,"Boechler, Nicholas Sebastia",MAE 170 - Experimental Techniques (A),SP22,125,93,85.9%,96.7%,10.74,B+ (3.40),B+ (3.54)
152,"Lucas, Andrew J.",MAE 170 - Experimental Techniques (B),SP22,128,111,75.5%,89.0%,9.1,B+ (3.47),B+ (3.62)
153,"Bahadori, Mohammad Yousef",MAE 180A - Spacecraft Guidance I (A),SP22,137,114,92.0%,90.3%,6.72,B (3.17),B (3.28)
154,"Anderson, Mark Ronald",MAE 184 - Flight Simulation Techniques (A),SP22,44,14,100.0%,92.9%,4.5,A- (3.85),B+ (3.56)
155,"Beg, Farhat N.",MAE 190 - Topics in Mech and Aero Eng (A),SP22,12,5,100.0%,100.0%,6.0,A (4.00),
156,"Qi, Huihui",MAE 3 - Intro/Engineering Graphcs&Desn (A),SP22,92,85,86.9%,97.6%,14.23,B+ (3.38),B+ (3.44)
157,"Lubarda, Marko",MAE 3 - Intro/Engineering Graphcs&Desn (B),SP22,88,35,82.9%,80.0%,12.67,B (3.29),B (3.30)
158,"Delson, Nathan Joseph",MAE 30B - Dynamics and Vibrations (A),SP22,105,58,67.9%,35.7%,7.05,B- (2.78),C (2.20)
159,"Ghazinejad, Maziar",MAE 30B - Dynamics and Vibrations (B),SP22,128,117,94.8%,97.4%,7.59,B (3.01),B- (2.95)
160,"Pham, Hieu Tan",MAE 8 - MATLAB Program for Engr Analys (A),SP22,181,65,95.2%,90.3%,7.81,B+ (3.46),B (3.12)
161,"Delson, Nathan Joseph",MAE 87 - Freshman Seminar (A),SP22,14,13,100.0%,100.0%,1.23,A- (3.75),
162,"Saha, Abhishek",MAE 94 - Rocketry Competitions (A),SP22,26,24,100.0%,100.0%,1.5,B+ (3.67),A (4.00)
163,"Nomura, Keiko K.",MAE 101A - Introductory Fluid Mechanics (A),WI22,116,106,92.5%,93.4%,8.14,B (3.07),B+ (3.37)
164,"Miller, David R.",MAE 101A - Introductory Fluid Mechanics (B),WI22,42,20,100.0%,94.1%,10.28,B+ (3.33),B- (2.89)
165,"Llewellyn Smith, Stefan G.",MAE 101B - Advanced Fluid Mechanics (A),WI22,75,43,90.7%,93.0%,7.24,B (3.21),B- (2.91)
166,"Bahadori, Mohammad Yousef",MAE 105 - Intro to Mathematical Physics (A),WI22,41,28,70.4%,74.1%,8.35,B- (2.81),B- (2.73)
167,"Lindsey, Stephanie",MAE 107 - Computational Methods/Engineer (A),WI22,58,48,52.1%,43.8%,9.0,B- (2.83),C+ (2.64)
168,"Petersen, Lonnie Grove",MAE 11 - Thermodynamics (A),WI22,72,39,76.3%,94.7%,8.92,B (3.00),C+ (2.62)
169,"Rangamani, Padmini",MAE 11 - Thermodynamics (B),WI22,78,72,86.1%,93.1%,7.32,B+ (3.32),B+ (3.58)
170,"Saha, Abhishek",MAE 110 - Thermodynamic Systems (A),WI22,14,12,100.0%,91.7%,9.0,B (3.09),
171,"Weiss, Adam Daniel",MAE 113 - Fundamentals of Propulsion (A),WI22,82,75,98.7%,100.0%,7.06,B+ (3.38),B+ (3.46)
172,"Hidalgo-Gonzalez, Patricia",MAE 119 - Intro Renew Energ/Solar & Wind (A),WI22,118,94,90.3%,90.2%,5.73,B+ (3.36),B (3.02)
173,"Krasheninnikov, Sergei",MAE 120 - Introduction to Nuclear Energy (A),WI22,31,18,82.4%,70.6%,6.38,B+ (3.35),B (3.09)
