,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
291,"Burg, Michael",BILD 2 - Multicellular Life (A),SP20,182,159,96.1%,94.2%,5.53,B+ (3.52),A- (3.74)
292,"Owens, Melinda Tsao-Ying",BILD 2 - Multicellular Life (B),SP20,259,192,97.4%,94.2%,6.48,B+ (3.65),B+ (3.43)
293,"Strause, Linda G.",BILD 22 - Human Nutrition (A),SP20,346,152,90.7%,91.9%,3.88,B+ (3.63),A- (3.74)
294,"Cooper, Kimberly Lynn",BILD 3 - Organismic&Evolutionary Biol (A),SP20,198,130,91.5%,95.4%,5.21,B (3.19),B (3.24)
295,"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (B),SP20,310,210,96.1%,97.1%,4.89,B+ (3.51),B+ (3.63)
296,"Kurle, Carolyn M.",BILD 3 - Organismic&Evolutionary Biol (C),SP20,315,154,96.7%,99.3%,4.12,B+ (3.64),A- (3.75)
297,"Mel, Stephanie",BILD 4 - Introductory Biology Lab (A),SP20,187,137,97.1%,100.0%,3.52,A- (3.87),A- (3.82)
298,"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (B),SP20,183,132,93.9%,98.5%,3.7,A- (3.74),A- (3.73)
299,"Mayfield, Stephen P.",BILD 42 - Our Sustainable Future (A),SP20,44,11,81.8%,81.8%,4.14,A- (3.86),B+ (3.63)
300,"Rifkin, Scott",BILD 60 - DEI in Relation to Human Bio (A),SP20,34,16,50.0%,62.5%,10.63,A- (3.75),A- (3.79)
301,"Bier, Ethan",BILD 7 - The Beginning of Life (A),SP20,174,55,92.6%,94.3%,3.39,B+ (3.62),A- (3.73)
302,"Yanofsky, Martin F.",BILD 7 - The Beginning of Life (A),SP20,174,55,92.6%,98.1%,3.39,B+ (3.62),A- (3.73)
303,"Briggs, Steven",BILD 92 - Prof Dev Topics in Biology (A),SP20,14,8,87.5%,87.5%,3.0,C+ (2.50),
304,"Dutton, Rachel Janelle",BILD 1 - The Cell (A),WI20,395,345,98.5%,98.5%,4.43,B+ (3.51),B+ (3.47)
