,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
275,"Jamora, Colin C",BIBC 103 - Biochemical Techniques (C),SP12,69,65,93.8%,100.0%,7.05,B+ (3.31),B+ (3.39)
276,"Crawford, Nigel M.",BIBC 120 - Nutrition (A),SP12,416,185,97.8%,98.9%,5.51,B+ (3.42),B- (2.86)
277,"Mayfield, Stephen P.",BIBC 140 - Introduction to Biofuels (A),SP12,224,71,87.1%,92.9%,6.19,B (3.25),B (3.14)
278,"Feng, Gen-Sheng",BIBC 102 - Metabolic Biochemistry (A),WI12,70,25,92.0%,92.0%,8.74,B+ (3.52),B (3.01)
279,"Coleman, Aaron B.",BIBC 102 - Metabolic Biochemistry (B),WI12,316,141,97.9%,95.7%,7.52,B+ (3.37),B- (2.83)
280,"Soowal, Lara",BIBC 103 - Biochemical Techniques (A),WI12,72,32,93.8%,96.9%,7.63,B+ (3.48),B (3.08)
281,"Coleman, Aaron B.",BIBC 103 - Biochemical Techniques (B),WI12,71,32,96.8%,96.8%,6.63,B+ (3.41),B (3.08)
282,"Bozinovic, Goran",BIBC 103 - Biochemical Techniques (C),WI12,143,42,92.9%,92.9%,9.55,B+ (3.33),B (3.00)
283,"Mel, Stephanie",BIBC 100 - Structural Biochemistry (A),FA11,399,149,93.8%,93.0%,5.92,B+ (3.52),B- (2.70)
284,"Coleman, Aaron B.",BIBC 102 - Metabolic Biochemistry (A),FA11,238,97,93.8%,98.9%,7.42,B+ (3.33),C+ (2.62)
285,"Coleman, Aaron B.",BIBC 102 - Metabolic Biochemistry (B),FA11,248,93,95.7%,97.8%,7.19,B+ (3.41),C+ (2.62)
286,"Soowal, Lara",BIBC 103 - Biochemical Techniques (A),FA11,142,59,94.9%,96.6%,6.91,B+ (3.44),B- (2.89)
287,"Tam, Tobey M",BIBC 103 - Biochemical Techniques (B),FA11,67,39,82.1%,17.9%,8.19,B (3.10),B (3.13)
288,"Tam, Tobey M",BIBC 103 - Biochemical Techniques (C),FA11,71,35,94.3%,37.1%,8.96,B (3.24),B (3.13)
289,"Coleman, Aaron B.",BIBC 102 - Metabolic Biochemistry (A),S211,167,69,97.1%,98.5%,9.71,B+ (3.43),B- (2.96)
290,"Bozinovic, Goran",BIBC 103 - Biochemical Techniques (A),S111,70,25,92.0%,84.0%,8.0,B (3.21),B- (2.97)
291,"Montal, S. Maurice",BIBC 100 - Structural Biochemistry (A),SP11,207,88,81.8%,65.9%,6.07,B+ (3.37),C+ (2.65)
292,"Price, Paul A.",BIBC 102 - Metabolic Biochemistry (A),SP11,338,148,94.6%,99.3%,7.52,B+ (3.37),B- (2.87)
293,"Hampton, Randolph Y.",BIBC 102 - Metabolic Biochemistry (B),SP11,234,87,91.8%,97.6%,6.74,B+ (3.51),B- (2.96)
294,"Coleman, Aaron B.",BIBC 103 - Biochemical Techniques (A),SP11,139,64,90.6%,95.3%,7.01,B (3.24),B- (2.88)
295,"Soowal, Lara",BIBC 103 - Biochemical Techniques (B),SP11,144,54,98.1%,98.1%,6.31,B+ (3.60),B- (2.97)
296,"Jamora, Colin C",BIBC 103 - Biochemical Techniques (C),SP11,72,35,100.0%,94.1%,7.79,B+ (3.60),B+ (3.43)
297,"Mayfield, Stephen P.",BIBC 140 - Introduction to Biofuels (A),SP11,273,116,89.6%,96.5%,5.23,B+ (3.33),B- (2.94)
298,"Montal, S. Maurice",BIBC 100 - Structural Biochemistry (A),WI11,183,73,84.9%,63.0%,6.96,B+ (3.36),B- (2.74)
299,"Zhao, Yunde",BIBC 102 - Metabolic Biochemistry (A),WI11,336,170,81.5%,82.0%,8.02,B (3.25),B- (2.76)
300,"Zhao, Yunde",BIBC 102 - Metabolic Biochemistry (B),WI11,83,41,76.9%,79.5%,7.78,B (3.26),B- (2.76)
301,"Coleman, Aaron B.",BIBC 103 - Biochemical Techniques (A),WI11,142,60,96.7%,100.0%,7.89,B+ (3.38),B- (2.81)
302,"Soowal, Lara",BIBC 103 - Biochemical Techniques (B),WI11,141,61,93.3%,85.0%,6.64,B+ (3.39),B (3.01)
303,"Chrispeels, Maarten J.",BIBC 104 - Biochem & Biotech/Plants (A),WI11,37,20,95.0%,95.0%,7.1,B+ (3.61),B (3.04)
304,"Strause, Linda G.",BIBC 120 - Nutrition (A),WI11,414,203,97.0%,77.8%,4.65,B+ (3.60),B+ (3.56)
305,"Ghiara, Jayant",BIBC 100 - Structural Biochemistry (A),FA10,425,165,85.5%,76.4%,5.9,B+ (3.47),B (3.17)
306,"Scheffler, Immo E.",BIBC 102 - Metabolic Biochemistry (A),FA10,344,169,88.1%,95.2%,8.0,B (3.24),C+ (2.33)
307,"Feng, Gen-Sheng",BIBC 102 - Metabolic Biochemistry (B),FA10,288,122,88.4%,57.9%,7.79,B (3.12),C+ (2.66)
308,"Soowal, Lara",BIBC 103 - Biochemical Techniques (A),FA10,71,30,96.7%,86.7%,8.02,B+ (3.39),B- (2.83)
309,"Coleman, Aaron B.",BIBC 103 - Biochemical Techniques (B),FA10,144,57,94.6%,100.0%,6.25,B+ (3.45),B (3.22)
310,"Chilukuri, Lakshmi N",BIBC 103 - Biochemical Techniques (C),FA10,96,47,93.6%,95.7%,7.65,B (3.15),B (3.04)
311,"Bartlett, Douglas H",BIBC 130 - Envir Phy/Biochem/Mar Organism (A),FA10,127,32,87.5%,93.8%,6.38,B+ (3.39),B- (2.80)
312,"Felbeck, Horst",BIBC 130 - Envir Phy/Biochem/Mar Organism (A),FA10,127,35,80.0%,77.1%,6.56,B+ (3.39),B- (2.80)
313,"Coleman, Aaron B.",BIBC 102 - Metabolic Biochemistry (A),SU10,168,53,92.5%,96.2%,9.1,B+ (3.43),
314,"Chilukuri, Lakshmi N",BIBC 120 - Nutrition (A),SU10,179,62,96.8%,95.1%,7.5,B+ (3.47),
315,"Mel, Stephanie",BIBC 100 - Structural Biochemistry (A),SP10,382,156,96.1%,96.1%,5.93,B+ (3.55),C+ (2.59)
316,"Bever, Jennie Lynn",BIBC 102 - Metabolic Biochemistry (A),SP10,270,238,88.2%,90.7%,6.76,B (3.22),C+ (2.62)
317,"Hampton, Randolph Y.",BIBC 102 - Metabolic Biochemistry (B),SP10,380,167,84.9%,94.5%,6.68,B+ (3.43),B- (2.91)
318,"Coleman, Aaron B.",BIBC 103 - Biochemical Techniques (A),SP10,141,69,89.9%,98.6%,6.76,B (3.19),B- (2.85)
319,"Soowal, Lara",BIBC 103 - Biochemical Techniques (B),SP10,141,64,91.9%,88.9%,5.66,B+ (3.40),B- (2.97)
320,"Toukdarian, Aresa",BIBC 103 - Biochemical Techniques (C),SP10,71,32,93.5%,87.1%,7.08,B+ (3.39),B- (2.98)
321,"Chrispeels, Maarten J.",BIBC 104 - Biochem & Biotech/Plants (A),SP10,50,19,68.4%,84.2%,4.29,B (3.05),B (3.03)
322,"Zhao, Yunde",BIBC 104 - Biochem & Biotech/Plants (A),SP10,50,17,62.5%,50.0%,4.63,B (3.05),B (3.03)
