,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
0,"Cubukcu, Ertugrul",NANO 107 - Elect Dev&Circuits for NanoEng (A),WI22,29,11,72.7%,81.8%,7.59,B+ (3.30),B (3.26),3.26,nano,107
1,"Cubukcu, Ertugrul",NANO 107 - Elect Dev&Circuits for NanoEng (A),WI21,53,18,83.3%,82.4%,8.17,B (3.00),B (3.28),3.28,nano,107
2,"Cubukcu, Ertugrul",NANO 107 - Elect Dev&Circuits for NanoEng (A),WI20,38,21,89.5%,89.5%,6.8,B+ (3.37),B (3.25),3.25,nano,107
3,"Cubukcu, Ertugrul",NANO 107 - Elect Dev&Circuits for NanoEng (A),WI19,56,27,95.8%,95.7%,7.42,B+ (3.38),B (3.06),3.06,nano,107
4,"Cubukcu, Ertugrul",NANO 107 - Elect Dev&Circuits for NanoEng (A),WI18,65,22,80.0%,90.0%,6.9,B (3.14),B (3.27),3.27,nano,107
5,"Cubukcu, Ertugrul",NANO 107 - Elect Dev&Circuits for NanoEng (A),WI17,61,24,87.5%,95.8%,6.41,B (3.17),B (3.05),3.05,nano,107
6,"Esener, Sadik C",NANO 107 - Elect Dev&Circuits for NanoEng (A),WI16,103,55,49.0%,62.7%,10.08,B- (2.96),B- (2.95),2.95,nano,107
7,"Esener, Sadik C",NANO 107 - Elect Dev&Circuits for NanoEng (A),WI15,48,13,54.5%,63.6%,7.59,B- (2.91),B- (2.95),2.95,nano,107
