,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
0,0,0,0,0,0,0,0,"Touri, Behrouz",ECE 109 - Engineering Probability&Stats (A),S122,49,11,60.0%,30.0%,8.5,B- (2.91),C (2.10),2.1,ece,109
1,1,1,1,1,1,1,1,"Orlitsky, Alon",ECE 109 - Engineering Probability&Stats (A),SP22,238,88,58.0%,71.3%,6.99,B (3.14),B- (2.99),2.99,ece,109
2,2,2,2,2,2,2,2,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),WI22,126,38,72.2%,75.0%,7.67,B- (2.86),C+ (2.52),2.52,ece,109
3,3,3,3,3,3,3,3,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),FA21,129,65,72.6%,75.8%,6.47,B- (2.94),C+ (2.64),2.64,ece,109
4,4,4,4,4,4,4,4,"Samavat, Mohammad",ECE 109 - Engineering Probability&Stats (A),S121,60,11,90.9%,72.7%,11.05,B+ (3.45),B+ (3.44),3.44,ece,109
5,5,5,5,5,5,5,5,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),SP21,102,46,80.4%,80.4%,7.02,B (3.23),B (3.11),3.11,ece,109
6,6,6,6,6,6,6,6,"Vardy, Alexander",ECE 109 - Engineering Probability&Stats (A),WI21,138,115,68.4%,78.9%,8.27,B (3.24),B (3.18),3.18,ece,109
7,7,7,7,7,7,7,7,"Fazeli Chaghooshi, Arman",ECE 109 - Engineering Probability&Stats (A),FA20,181,66,75.8%,78.5%,7.83,B (3.06),B (3.14),3.14,ece,109
8,8,8,8,8,8,8,8,"Orlitsky, Alon",ECE 109 - Engineering Probability&Stats (A),SP20,311,117,82.0%,81.1%,9.41,B+ (3.47),B+ (3.49),3.49,ece,109
9,9,9,9,9,9,9,9,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),FA19,132,53,81.6%,87.5%,6.7,B- (2.84),C+ (2.49),2.49,ece,109
10,10,10,10,10,10,10,10,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),SP19,163,54,57.4%,76.6%,7.39,C+ (2.67),C+ (2.61),2.61,ece,109
11,11,11,11,11,11,11,11,"Vardy, Alexander",ECE 109 - Engineering Probability&Stats (A),WI19,114,46,72.1%,83.3%,8.31,B (3.10),B- (2.81),2.81,ece,109
12,12,12,12,12,12,12,12,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),FA18,91,37,91.2%,91.2%,6.84,B (3.11),C+ (2.66),2.66,ece,109
13,13,13,13,13,13,13,13,"Lugannani, Robert",ECE 109 - Engineering Probability&Stats (A),SP18,261,90,85.1%,84.9%,5.98,B+ (3.42),B- (2.74),2.74,ece,109
14,14,14,14,14,14,14,14,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),WI18,77,30,80.0%,86.7%,5.77,B- (2.93),B- (2.70),2.7,ece,109
15,15,15,15,15,15,15,15,"Kim, Minji",ECE 109 - Engineering Probability&Stats (A),S217,49,41,87.5%,97.5%,11.8,B- (2.80),C+ (2.62),2.62,ece,109
16,16,16,16,16,16,16,16,"Lugannani, Robert",ECE 109 - Engineering Probability&Stats (A),SP17,296,86,86.4%,85.2%,5.15,B+ (3.44),C+ (2.65),2.65,ece,109
17,17,17,17,17,17,17,17,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),WI17,126,47,90.9%,93.2%,6.31,B (3.10),C+ (2.37),2.37,ece,109
18,18,18,18,18,18,18,18,"Masnadi-Shirazi, Maryam",ECE 109 - Engineering Probability&Stats (A),S116,84,16,86.7%,73.3%,7.64,B+ (3.64),C+ (2.53),2.53,ece,109
