,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
0,0,0,0,0,0,0,0,"Gilja, Vikash",ECE 15 - Engineering Computation (A),SP22,100,29,69.0%,88.9%,9.19,B (3.07),C+ (2.55),2.55,ece,15
1,1,1,1,1,1,1,1,"Bharadia, Dinesh",ECE 157B - Communications Systems Lab II (A),SP22,8,6,100.0%,80.0%,9.7,A- (3.83),,,ece,15
2,2,2,2,2,2,2,2,"Zhang, Xinyu",ECE 158B - Data Networks II (A),SP22,10,4,100.0%,100.0%,6.5,B (3.00),,,ece,15
3,3,3,3,3,3,3,3,"Schurgers, Curt",ECE 15 - Engineering Computation (A),WI22,134,93,80.6%,91.3%,9.4,B (3.15),C (2.23),2.23,ece,15
4,4,4,4,4,4,4,4,"Kumar, Rakesh",ECE 150 - Entrepreneurship for Engineers (A),WI22,40,26,92.3%,92.3%,6.02,A- (3.72),B+ (3.40),3.4,ece,15
5,5,5,5,5,5,5,5,"Ling, Patrick L",ECE 157A - Communications Systems Lab I (A),WI22,18,7,100.0%,100.0%,10.5,B+ (3.57),,,ece,15
6,6,6,6,6,6,6,6,"Schurgers, Curt",ECE 15 - Engineering Computation (A),FA21,217,158,78.7%,87.6%,9.11,B (3.16),C+ (2.67),2.67,ece,15
7,7,7,7,7,7,7,7,"Milstein, Laurence B.",ECE 155 - Digital Communications Theory (A),FA21,6,5,100.0%,100.0%,6.5,B (3.00),,,ece,15
8,8,8,8,8,8,8,8,"Franceschetti, Massimo",ECE 158A - Data Networks I (A),FA21,47,14,83.3%,83.3%,4.83,B (3.25),B (3.23),3.23,ece,15
9,9,9,9,9,9,9,9,"Al Ajrawi, Shams",ECE 15 - Engineering Computation (A),S121,38,10,50.0%,20.0%,8.9,A- (3.80),A- (3.73),3.73,ece,15
10,10,10,10,10,10,10,10,"Schurgers, Curt",ECE 15 - Engineering Computation (A),SP21,94,51,80.4%,86.3%,9.44,B (3.15),C+ (2.37),2.37,ece,15
11,11,11,11,11,11,11,11,"Zhang, Xinyu",ECE 158B - Data Networks II (A),SP21,16,5,100.0%,100.0%,9.0,B+ (3.33),,,ece,15
12,12,12,12,12,12,12,12,"Schurgers, Curt",ECE 15 - Engineering Computation (A),WI21,148,101,91.0%,95.0%,9.44,B+ (3.46),B- (2.89),2.89,ece,15
13,13,13,13,13,13,13,13,"Kumar, Rakesh",ECE 150 - Entrepreneurship for Engineers (A),WI21,26,21,90.5%,81.0%,5.2,A- (3.89),B+ (3.54),3.54,ece,15
14,14,14,14,14,14,14,14,"Bharadia, Dinesh",ECE 157A - Communications Systems Lab I (A),WI21,10,8,87.5%,87.5%,9.25,B- (2.83),,,ece,15
15,15,15,15,15,15,15,15,"Javidi, Tara",ECE 159 - Intro Data Proc & Info Theory (A),WI21,9,4,100.0%,100.0%,7.0,B (3.00),,,ece,15
16,16,16,16,16,16,16,16,"Vardy, Alexander",ECE 15 - Engineering Computation (A),FA20,288,245,79.2%,84.1%,9.14,B (3.19),B- (2.98),2.98,ece,15
17,17,17,17,17,17,17,17,"Milstein, Laurence B.",ECE 155 - Digital Communications Theory (A),FA20,9,4,100.0%,100.0%,9.0,B+ (3.50),,,ece,15
18,18,18,18,18,18,18,18,"Franceschetti, Massimo",ECE 158A - Data Networks I (A),FA20,35,12,100.0%,100.0%,4.83,B+ (3.67),B (3.23),3.23,ece,15
19,19,19,19,19,19,19,19,"Schurgers, Curt",ECE 15 - Engineering Computation (A),SP20,117,79,78.2%,79.2%,9.09,B+ (3.47),B (3.27),3.27,ece,15
20,20,20,20,20,20,20,20,"Bharadia, Dinesh",ECE 157B - Communications Systems Lab II (A),SP20,6,5,100.0%,100.0%,9.3,A- (3.75),,,ece,15
21,21,21,21,21,21,21,21,"Zhang, Xinyu",ECE 158B - Data Networks II (A),SP20,21,8,71.4%,85.7%,8.79,B+ (3.50),B+ (3.38),3.38,ece,15
22,22,22,22,22,22,22,22,"Schurgers, Curt",ECE 15 - Engineering Computation (A),WI20,118,87,89.4%,95.3%,9.21,B (3.15),B (3.22),3.22,ece,15
