,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
29,29,29,29,29,29,29,29,29,29,29,29,"Miranda, Gregory Joseph",CSE 12 - Basic Data Struct & OO Design (D),WI21,191,157,93.0%,98.1%,10.38,B+ (3.66),B+ (3.68),3.68,cse,12
30,30,30,30,30,30,30,30,30,30,30,30,"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (A),WI21,215,65,87.5%,92.2%,10.47,B+ (3.40),B+ (3.38),3.38,cse,12
31,31,31,31,31,31,31,31,31,31,31,31,"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (B),WI21,181,54,92.3%,96.2%,10.08,B (3.21),B (3.30),3.3,cse,12
32,32,32,32,32,32,32,32,32,32,32,32,"Snoeren, Alex C.",CSE 123 - Computer Networks (A),WI21,28,15,84.6%,92.3%,13.58,B+ (3.60),B+ (3.50),3.5,cse,12
33,33,33,33,33,33,33,33,33,33,33,33,"Snoeren, Alex C.",CSE 123 - Computer Networks (B),WI21,71,25,95.8%,95.8%,14.26,A- (3.71),B+ (3.34),3.34,cse,12
34,34,34,34,34,34,34,34,34,34,34,34,"Heninger, Nadia A",CSE 127 - Intro to Computer Security (A),WI21,168,56,94.4%,86.8%,9.17,A- (3.73),B+ (3.49),3.49,cse,12
35,35,35,35,35,35,35,35,35,35,35,35,"Miranda, Gregory Joseph",CSE 12 - Basic Data Struct & OO Design (A),FA20,172,77,86.7%,89.2%,13.2,B+ (3.53),B (3.29),3.29,cse,12
36,36,36,36,36,36,36,36,36,36,36,36,"Miranda, Gregory Joseph",CSE 12 - Basic Data Struct & OO Design (B),FA20,173,68,89.2%,86.2%,12.05,B+ (3.64),B+ (3.33),3.33,cse,12
37,37,37,37,37,37,37,37,37,37,37,37,"Voelker, Geoffrey M.",CSE 120 - Princ/Computer Operating Systm (A),FA20,251,86,95.2%,100.0%,11.52,B+ (3.52),B (3.25),3.25,cse,12
38,38,38,38,38,38,38,38,38,38,38,38,"Porter, George M",CSE 124 - Networked Services (A),FA20,177,53,98.0%,98.0%,9.54,B+ (3.57),B+ (3.30),3.3,cse,12
39,39,39,39,39,39,39,39,39,39,39,39,"Stefan, Deian",CSE 127 - Intro to Computer Security (A),FA20,153,42,97.6%,90.2%,8.99,A- (3.83),B+ (3.64),3.64,cse,12
40,40,40,40,40,40,40,40,40,40,40,40,"Cao, Yingjun",CSE 12 - Basic Data Struct & OO Design (A),SP20,191,146,100.0%,97.9%,10.72,A- (3.71),B+ (3.66),3.66,cse,12
41,41,41,41,41,41,41,41,41,41,41,41,"Cao, Yingjun",CSE 12 - Basic Data Struct & OO Design (B),SP20,188,150,98.0%,96.6%,10.69,A- (3.79),A- (3.83),3.83,cse,12
42,42,42,42,42,42,42,42,42,42,42,42,"Allos, Haytham Issa",CSE 12 - Basic Data Struct & OO Design (C),SP20,383,302,98.3%,93.5%,9.58,A- (3.85),A- (3.87),3.87,cse,12
43,43,43,43,43,43,43,43,43,43,43,43,"Zhou, Yuan-Yuan",CSE 120 - Princ/Computer Operating Systm (A),SP20,161,103,88.3%,89.1%,10.33,B+ (3.53),B+ (3.42),3.42,cse,12
44,44,44,44,44,44,44,44,44,44,44,44,"Zhang, Yiying",CSE 120 - Princ/Computer Operating Systm (B),SP20,48,18,82.4%,86.7%,8.74,B+ (3.42),A- (3.75),3.75,cse,12
45,45,45,45,45,45,45,45,45,45,45,45,"Shalev, Aaron D",CSE 123 - Computer Networks (A),SP20,101,23,78.3%,82.6%,10.85,B+ (3.38),B+ (3.39),3.39,cse,12
46,46,46,46,46,46,46,46,46,46,46,46,"Voelker, Geoffrey M.",CSE 125 - Software Sys Design & Implemnt (A),SP20,30,11,100.0%,100.0%,13.7,A- (3.89),A (4.00),4.0,cse,12
47,47,47,47,47,47,47,47,47,47,47,47,"Savage, Stefan",CSE 127 - Intro to Computer Security (A),SP20,206,55,100.0%,100.0%,6.72,A- (3.74),B+ (3.55),3.55,cse,12
48,48,48,48,48,48,48,48,48,48,48,48,"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),WI20,185,100,87.9%,73.2%,12.83,B+ (3.38),B (3.29),3.29,cse,12
49,49,49,49,49,49,49,49,49,49,49,49,"Miranda, Gregory Joseph",CSE 12 - Basic Data Struct & OO Design (B),WI20,190,122,97.5%,91.6%,8.83,B+ (3.51),B+ (3.33),3.33,cse,12
50,50,50,50,50,50,50,50,50,50,50,50,"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (A),WI20,207,67,82.3%,87.1%,10.4,B (3.08),B- (2.99),2.99,cse,12
51,51,51,51,51,51,51,51,51,51,51,51,"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (B),WI20,183,61,96.6%,96.5%,9.02,B+ (3.36),B (3.25),3.25,cse,12
52,52,52,52,52,52,52,52,52,52,52,52,"Porter, George M",CSE 124 - Networked Services (A),WI20,159,67,98.4%,95.3%,7.73,B+ (3.49),A- (3.72),3.72,cse,12
53,53,53,53,53,53,53,53,53,53,53,53,"Stefan, Deian",CSE 127 - Intro to Computer Security (A),WI20,140,38,97.3%,97.3%,9.8,B+ (3.54),B+ (3.54),3.54,cse,12
54,54,54,54,54,54,54,54,54,54,54,54,"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),FA19,147,93,86.7%,83.0%,14.1,B+ (3.30),B (3.12),3.12,cse,12
55,55,55,55,55,55,55,55,55,55,55,55,"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (B),FA19,131,78,90.9%,77.9%,14.47,B+ (3.43),B- (2.96),2.96,cse,12
56,56,56,56,56,56,56,56,56,56,56,56,"Voelker, Geoffrey M.",CSE 120 - Princ/Computer Operating Systm (A),FA19,181,52,94.0%,100.0%,11.22,B (3.20),B- (2.87),2.87,cse,12
57,57,57,57,57,57,57,57,57,57,57,57,"Snoeren, Alex C.",CSE 123 - Computer Networks (A),FA19,98,20,89.5%,100.0%,9.13,B (3.00),B- (2.74),2.74,cse,12
58,58,58,58,58,58,58,58,58,58,58,58,"Heninger, Nadia A",CSE 127 - Intro to Computer Security (A),FA19,41,10,100.0%,85.7%,9.64,B+ (3.57),B+ (3.68),3.68,cse,12
59,59,59,59,59,59,59,59,59,59,59,59,"Stefan, Deian",CSE 127 - Intro to Computer Security (B),FA19,51,21,95.2%,85.7%,9.45,B (3.11),B (3.07),3.07,cse,12
60,60,60,60,60,60,60,60,60,60,60,60,"Polyzos, George C",CSE 123 - Computer Networks (A),S219,32,10,100.0%,70.0%,11.5,B- (2.90),B- (2.84),2.84,cse,12
61,61,61,61,61,61,61,61,61,61,61,61,"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),SP19,133,62,92.9%,69.1%,13.31,B (3.25),B (3.05),3.05,cse,12
62,62,62,62,62,62,62,62,62,62,62,62,"Zaitsev, Anna L",CSE 12 - Basic Data Struct & OO Design (B),SP19,184,145,94.3%,74.5%,12.08,B+ (3.38),B- (3.00),3.0,cse,12
63,63,63,63,63,63,63,63,63,63,63,63,"Zaitsev, Anna L",CSE 12 - Basic Data Struct & OO Design (C),SP19,175,139,89.8%,74.5%,11.4,B+ (3.38),B- (3.00),3.0,cse,12
64,64,64,64,64,64,64,64,64,64,64,64,"Voelker, Geoffrey M.",CSE 120 - Princ/Computer Operating Systm (A),SP19,200,57,92.3%,98.0%,9.77,B+ (3.57),B- (2.98),2.98,cse,12
65,65,65,65,65,65,65,65,65,65,65,65,"Shalev, Aaron D",CSE 123 - Computer Networks (A),SP19,158,37,80.0%,74.3%,9.87,C+ (2.67),C+ (2.52),2.52,cse,12
66,66,66,66,66,66,66,66,66,66,66,66,"Voelker, Geoffrey M.",CSE 125 - Software Sys Design & Implemnt (A),SP19,30,10,100.0%,100.0%,14.5,A (4.00),A (4.00),4.0,cse,12
