,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
63,63,63,63,"Kahng, Andrew Byun",CSE 21 - Math/Algorithm&Systems Analys (B),SP14,182,81,90.8%,89.5%,6.05,B+ (3.45),B+ (3.47),3.47,cse,21
64,64,64,64,"Chakraboty, Sourav",CSE 21 - Math/Algorithm&Systems Analys (A),WI14,193,85,79.7%,46.8%,5.76,B+ (3.42),B+ (3.42),3.42,cse,21
65,65,65,65,"Graham, Ronald L",CSE 21 - Math/Algorithm&Systems Analys (A),FA13,190,56,94.5%,94.5%,4.72,B+ (3.68),B+ (3.61),3.61,cse,21
66,66,66,66,"Minnes Kemp, Mor Mia",CSE 21 - Math/Algorithm&Systems Analys (B),FA13,182,71,93.0%,100.0%,5.09,B+ (3.53),B (3.23),3.23,cse,21
67,67,67,67,"Wang, Jianwu",CSE 21 - Math/Algorithm&Systems Analys (B),S213,75,17,66.7%,60.0%,9.5,B+ (3.43),B+ (3.32),3.32,cse,21
68,68,68,68,"Ord, Richard",CSE 21 - Math/Algorithm&Systems Analys (A),SP13,239,86,90.1%,93.8%,4.03,A- (3.83),B+ (3.36),3.36,cse,21
69,69,69,69,"Graham, Ronald L",CSE 21 - Math/Algorithm&Systems Analys (A),WI13,117,42,92.5%,95.0%,5.37,B+ (3.33),B+ (3.44),3.44,cse,21
70,70,70,70,"Graham, Ronald L",CSE 21 - Math/Algorithm&Systems Analys (B),WI13,110,44,93.2%,95.5%,5.85,B+ (3.33),B+ (3.44),3.44,cse,21
71,71,71,71,"Ord, Richard",CSE 21 - Math/Algorithm&Systems Analys (A),FA12,213,121,96.7%,97.5%,6.37,A- (3.76),B+ (3.57),3.57,cse,21
72,72,72,72,"Ord, Richard",CSE 21 - Math/Algorithm&Systems Analys (A),SP12,183,72,95.8%,88.7%,6.02,A- (3.79),B+ (3.46),3.46,cse,21
73,73,73,73,"Graham, Ronald L",CSE 21 - Math/Algorithm&Systems Analys (A),WI12,129,41,87.8%,95.1%,5.52,B+ (3.55),B (3.30),3.3,cse,21
74,74,74,74,"Graham, Ronald L",CSE 21 - Math/Algorithm&Systems Analys (A),FA11,154,77,87.0%,92.2%,5.28,B+ (3.42),B+ (3.34),3.34,cse,21
75,75,75,75,"Ruvolo, Paul L",CSE 21 - Math/Algorithm&Systems Analys (A),S211,59,33,90.9%,93.9%,8.19,A- (3.74),B+ (3.70),3.7,cse,21
76,76,76,76,"Graham, Ronald L",CSE 21 - Math/Algorithm&Systems Analys (A),SP11,96,40,95.0%,90.0%,6.7,B+ (3.68),B+ (3.54),3.54,cse,21
77,77,77,77,"Graham, Ronald L",CSE 21 - Math/Algorithm&Systems Analys (A),WI11,106,45,88.9%,97.8%,6.86,B+ (3.44),B+ (3.47),3.47,cse,21
78,78,78,78,"Ord, Richard",CSE 21 - Math/Algorithm&Systems Analys (A),FA10,151,85,91.7%,98.8%,4.69,A- (3.76),B+ (3.65),3.65,cse,21
79,79,79,79,"Ord, Richard",CSE 21 - Math/Algorithm&Systems Analys (A),SP10,142,69,85.3%,98.5%,6.12,B+ (3.36),B (3.22),3.22,cse,21
