,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
68,68,68,68,"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (D),WI16,175,100,59.6%,63.8%,3.51,B+ (3.48),B (3.02),3.02,cse,15L
69,69,69,69,"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (A),FA15,144,88,77.3%,72.7%,4.41,B (3.25),B (3.08),3.08,cse,15L
70,70,70,70,"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (B),FA15,112,68,81.3%,76.6%,4.69,B+ (3.45),B (3.08),3.08,cse,15L
71,71,71,71,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (C),FA15,83,54,83.0%,79.2%,4.76,B (3.25),B- (2.81),2.81,cse,15L
72,72,72,72,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (A),S215,26,5,40.0%,100.0%,2.9,B+ (3.60),B (3.15),3.15,cse,15L
73,73,73,73,"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (A),S115,59,15,100.0%,85.7%,7.41,A- (3.75),B (3.24),3.24,cse,15L
74,74,74,74,"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (A),SP15,190,96,72.0%,78.5%,3.75,B+ (3.53),B (3.12),3.12,cse,15L
75,75,75,75,"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (B),SP15,198,91,74.4%,81.1%,4.06,B+ (3.64),B (3.12),3.12,cse,15L
76,76,76,76,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (C),SP15,134,63,66.1%,74.2%,3.64,B+ (3.34),B- (2.97),2.97,cse,15L
77,77,77,77,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (A),WI15,185,108,84.9%,85.8%,3.1,A- (3.75),B+ (3.41),3.41,cse,15L
78,78,78,78,"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (B),WI15,183,94,76.9%,76.9%,3.1,A- (3.75),B (3.23),3.23,cse,15L
79,79,79,79,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (A),FA14,159,65,82.5%,82.5%,3.52,B+ (3.48),B (3.14),3.14,cse,15L
80,80,80,80,"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (B),FA14,172,54,80.8%,76.9%,3.54,B+ (3.68),B+ (3.32),3.32,cse,15L
81,81,81,81,"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (A),S114,18,9,100.0%,85.7%,4.79,A- (3.86),,,cse,15L
82,82,82,82,"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (A),SP14,165,78,80.0%,84.0%,3.05,B+ (3.42),B+ (3.31),3.31,cse,15L
83,83,83,83,"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (B),SP14,147,74,84.7%,80.6%,3.26,B+ (3.47),B+ (3.31),3.31,cse,15L
84,84,84,84,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (A),WI14,163,66,73.8%,78.5%,3.81,B+ (3.60),B (3.30),3.3,cse,15L
