,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
68,68,68,68,68,68,68,"Griswold, William G.",CSE 110 - Software Engineering (A),SP17,193,142,90.1%,81.6%,9.88,B+ (3.42),B (3.08),3.08,cse,11
69,69,69,69,69,69,69,"Powell, Thomas Allan",CSE 112 - Advanced Software Engineering (A),SP17,185,57,82.5%,89.5%,6.88,B+ (3.48),B (3.18),3.18,cse,11
70,70,70,70,70,70,70,"Papadopoulos, Philip Micha",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),WI17,118,42,87.5%,80.0%,10.65,B (3.26),B- (2.80),2.8,cse,11
71,71,71,71,71,71,71,"Politz, Joseph Gibbs",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (B),WI17,117,50,81.3%,93.8%,10.75,B+ (3.38),B- (2.71),2.71,cse,11
72,72,72,72,72,72,72,"Politz, Joseph Gibbs",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (C),WI17,92,48,87.2%,100.0%,11.82,B (3.09),B- (2.71),2.71,cse,11
73,73,73,73,73,73,73,"Gillespie, Gary N",CSE 110 - Software Engineering (A),WI17,388,175,84.0%,59.5%,10.02,B+ (3.47),B (3.19),3.19,cse,11
74,74,74,74,74,74,74,"Ord, Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (B),FA16,275,135,91.9%,96.0%,11.98,B+ (3.65),B+ (3.52),3.52,cse,11
75,75,75,75,75,75,75,"Ord, Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (D),FA16,258,140,92.1%,97.6%,12.34,A- (3.71),B+ (3.52),3.52,cse,11
76,76,76,76,76,76,76,"Kesden, Gregory M",CSE 110 - Software Engineering (A),FA16,176,79,90.5%,73.0%,7.9,B+ (3.68),A- (3.84),3.84,cse,11
77,77,77,77,77,77,77,"Weibel, Nadir",CSE 118 - Ubiquitous Computing (A),FA16,33,8,85.7%,85.7%,6.21,B+ (3.57),B+ (3.53),3.53,cse,11
78,78,78,78,78,78,78,"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),S216,39,17,68.8%,50.0%,11.38,B+ (3.44),B- (2.99),2.99,cse,11
79,79,79,79,79,79,79,"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),S116,36,14,91.7%,91.7%,6.17,A- (3.80),B- (3.00),3.0,cse,11
80,80,80,80,80,80,80,"Papadopoulos, Philip Micha",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SP16,123,36,93.3%,90.0%,9.12,B (3.27),B (3.01),3.01,cse,11
81,81,81,81,81,81,81,"Gillespie, Gary N",CSE 110 - Software Engineering (A),SP16,199,71,87.0%,87.0%,10.38,B+ (3.67),B+ (3.36),3.36,cse,11
82,82,82,82,82,82,82,"Griswold, William G.",CSE 110 - Software Engineering (B),SP16,301,204,84.1%,60.7%,9.13,B+ (3.36),B- (2.93),2.93,cse,11
83,83,83,83,83,83,83,"Papadopoulos, Philip Micha",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),WI16,123,54,90.4%,80.8%,10.42,B+ (3.37),B- (2.72),2.72,cse,11
84,84,84,84,84,84,84,"Jundt, Adam H",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (B),WI16,161,76,94.3%,94.3%,10.96,A- (3.70),B+ (3.41),3.41,cse,11
85,85,85,85,85,85,85,"Jundt, Adam H",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (C),WI16,118,57,88.9%,92.6%,11.17,B+ (3.59),B+ (3.41),3.41,cse,11
86,86,86,86,86,86,86,"Kesden, Gregory M",CSE 110 - Software Engineering (A),WI16,169,78,82.9%,57.9%,6.77,B+ (3.58),B+ (3.34),3.34,cse,11
87,87,87,87,87,87,87,"Kesden, Gregory M",CSE 110 - Software Engineering (B),WI16,156,65,85.7%,66.7%,7.7,B+ (3.65),B+ (3.34),3.34,cse,11
88,88,88,88,88,88,88,"Powell, Thomas Allan",CSE 112 - Advanced Software Engineering (A),WI16,115,37,88.6%,94.3%,8.03,B+ (3.32),B (3.24),3.24,cse,11
89,89,89,89,89,89,89,"Ord, Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),FA15,167,81,100.0%,97.3%,10.34,A- (3.76),B+ (3.45),3.45,cse,11
90,90,90,90,90,90,90,"Ord, Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (B),FA15,169,95,93.1%,98.9%,10.5,B+ (3.69),B+ (3.45),3.45,cse,11
91,91,91,91,91,91,91,"Ord, Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (C),FA15,162,85,91.3%,93.8%,12.37,B+ (3.55),B+ (3.45),3.45,cse,11
92,92,92,92,92,92,92,"Kesden, Gregory M",CSE 110 - Software Engineering (A),FA15,146,65,95.0%,63.3%,7.57,B+ (3.62),A- (3.80),3.8,cse,11
93,93,93,93,93,93,93,"Kesden, Gregory M",CSE 110 - Software Engineering (B),FA15,146,77,88.9%,54.2%,7.35,B+ (3.51),A- (3.80),3.8,cse,11
94,94,94,94,94,94,94,"Weibel, Nadir",CSE 118 - Ubiquitous Computing (A),FA15,32,14,85.7%,100.0%,7.36,B+ (3.64),B+ (3.64),3.64,cse,11
95,95,95,95,95,95,95,"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),S215,40,15,85.7%,71.4%,10.19,B+ (3.50),B (3.01),3.01,cse,11
96,96,96,96,96,96,96,"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),S115,42,7,85.7%,57.1%,13.36,B (3.20),B (3.12),3.12,cse,11
