,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
0,0,0,0,"Cao, Yingjun",CSE 30 - Computer Organiz&Systms Progrm (A),S222,32,7,85.7%,100.0%,14.21,B+ (3.43),B (3.02),3.02,cse,30
1,1,1,1,"Eldon, John",CSE 30 - Computer Organiz&Systms Progrm (A),S122,72,44,77.3%,75.0%,13.36,B+ (3.46),B- (2.92),2.92,cse,30
2,2,2,2,"Bhaskar, Nishant",CSE 30 - Computer Organiz&Systms Progrm (B),S122,41,27,92.6%,100.0%,12.19,B+ (3.38),B- (2.89),2.89,cse,30
3,3,3,3,"Muller, P Keith",CSE 30 - Computer Organiz&Systms Progrm (A),SP22,425,148,82.8%,84.8%,10.08,B+ (3.46),B (3.08),3.08,cse,30
4,4,4,4,"Chin, Bryan W.",CSE 30 - Computer Organiz&Systms Progrm (A),WI22,175,146,89.0%,93.1%,12.38,B (3.29),B- (2.88),2.88,cse,30
5,5,5,5,"Obaido, George Rabeshi",CSE 30 - Computer Organiz&Systms Progrm (B),WI22,118,101,89.1%,90.1%,11.77,B (3.23),B- (2.92),2.92,cse,30
6,6,6,6,"Muller, P Keith",CSE 30 - Computer Organiz&Systms Progrm (A),FA21,125,109,79.6%,85.2%,13.06,B (3.12),B- (2.85),2.85,cse,30
7,7,7,7,"Muller, P Keith",CSE 30 - Computer Organiz&Systms Progrm (B),FA21,127,108,86.1%,88.0%,12.39,B (3.21),B- (2.86),2.86,cse,30
8,8,8,8,"Chin, Bryan W.",CSE 30 - Computer Organiz&Systms Progrm (C),FA21,111,106,81.9%,91.4%,12.67,B (3.20),B- (2.84),2.84,cse,30
9,9,9,9,"Cao, Yingjun",CSE 30 - Computer Organiz&Systms Progrm (A),S221,35,23,100.0%,100.0%,11.11,B+ (3.52),C+ (2.69),2.69,cse,30
10,10,10,10,"Cao, Yingjun",CSE 30 - Computer Organiz&Systms Progrm (A),S121,36,20,85.0%,90.0%,12.4,B (3.28),B- (2.90),2.9,cse,30
11,11,11,11,"Chin, Bryan W.",CSE 30 - Computer Organiz&Systms Progrm (A),SP21,226,196,87.8%,94.4%,10.79,B+ (3.50),B+ (3.52),3.52,cse,30
