,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
0,0,0,0,0,0,0,"Briones, Jor-el Thomas Caparas",CSE 20 - Discrete Mathematics (A),S222,22,13,92.3%,84.6%,9.12,B (3.15),B+ (3.64),3.64,cse,20
1,1,1,1,1,1,1,"Tran, Khoa Dang",CSE 20 - Discrete Mathematics (A),S122,41,13,100.0%,92.3%,8.5,A- (3.92),B+ (3.52),3.52,cse,20
2,2,2,2,2,2,2,"Jones, Miles E",CSE 20 - Discrete Mathematics (A),SP22,339,140,84.1%,81.8%,7.37,B+ (3.52),B (3.09),3.09,cse,20
3,3,3,3,3,3,3,"Jones, Miles E",CSE 20 - Discrete Mathematics (A),WI22,289,145,85.7%,90.7%,7.18,B+ (3.52),B (3.30),3.3,cse,20
4,4,4,4,4,4,4,"Minnes Kemp, Mor Mia",CSE 20 - Discrete Mathematics (A),FA21,295,190,94.2%,96.8%,7.43,B+ (3.67),B (3.24),3.24,cse,20
5,5,5,5,5,5,5,"Knoth, Tristan Joseph",CSE 20 - Discrete Mathematics (A),S221,8,4,75.0%,100.0%,9.0,A- (3.75),,,cse,20
6,6,6,6,6,6,6,"Jones, Miles E",CSE 20 - Discrete Mathematics (A),S121,78,22,94.7%,94.7%,8.98,B+ (3.48),B (3.09),3.09,cse,20
7,7,7,7,7,7,7,"Jones, Miles E",CSE 20 - Discrete Mathematics (A),SP21,325,173,91.2%,94.1%,7.62,B+ (3.59),B (3.17),3.17,cse,20
8,8,8,8,8,8,8,"Minnes Kemp, Mor Mia",CSE 20 - Discrete Mathematics (A),WI21,149,111,89.8%,98.1%,7.93,A- (3.70),A- (3.72),3.72,cse,20
9,9,9,9,9,9,9,"Minnes Kemp, Mor Mia",CSE 20 - Discrete Mathematics (B),WI21,155,115,89.6%,97.4%,8.45,B+ (3.70),A- (3.76),3.76,cse,20
10,10,10,10,10,10,10,"Lovett, Shachar",CSE 20 - Discrete Mathematics (B),FA20,254,223,82.4%,80.9%,7.41,B+ (3.48),B+ (3.45),3.45,cse,20
11,11,11,11,11,11,11,"Bach, Quang Tran",CSE 20 - Intro/Discrete Mathematics (A),S220,62,14,84.6%,84.6%,7.88,B+ (3.50),B (3.15),3.15,cse,20
12,12,12,12,12,12,12,"Jones, Miles E",CSE 20 - Intro/Discrete Mathematics (A),S120,43,8,100.0%,100.0%,7.93,A- (3.71),B+ (3.46),3.46,cse,20
13,13,13,13,13,13,13,"Jones, Miles E",CSE 20 - Intro/Discrete Mathematics (B),S120,52,14,84.6%,100.0%,9.58,B+ (3.54),B+ (3.40),3.4,cse,20
14,14,14,14,14,14,14,"Jones, Miles E",CSE 20 - Intro/Discrete Mathematics (A),SP20,192,115,96.3%,99.1%,7.89,B+ (3.68),A- (3.79),3.79,cse,20
15,15,15,15,15,15,15,"Minnes Kemp, Mor Mia",CSE 20 - Intro/Discrete Mathematics (A),WI20,305,189,86.9%,94.5%,8.51,B+ (3.39),A- (3.70),3.7,cse,20
16,16,16,16,16,16,16,"Bach, Quang Tran",CSE 20 - Intro/Discrete Mathematics (B),WI20,123,117,89.7%,96.6%,8.16,B+ (3.32),B (3.21),3.21,cse,20
17,17,17,17,17,17,17,"Minnes Kemp, Mor Mia",CSE 20 - Intro/Discrete Mathematics (A),FA19,104,88,93.2%,98.9%,9.53,B+ (3.51),B- (2.89),2.89,cse,20
18,18,18,18,18,18,18,"Minnes Kemp, Mor Mia",CSE 20 - Intro/Discrete Mathematics (B),FA19,120,106,85.8%,93.3%,9.1,B+ (3.33),B- (2.73),2.73,cse,20
19,19,19,19,19,19,19,"Bach, Quang Tran",CSE 20 - Intro/Discrete Mathematics (A),S219,26,6,100.0%,80.0%,7.17,B+ (3.67),B+ (3.50),3.5,cse,20
20,20,20,20,20,20,20,"Bach, Quang Tran",CSE 20 - Intro/Discrete Mathematics (A),S119,30,9,100.0%,100.0%,7.39,B+ (3.44),B- (2.79),2.79,cse,20
